repo,issue_number,issue_url,created_at,comments_count,unique_participants,labels,label_primary,time_tercile,thread_bucket,rationale,title
Keyfactor/ejbca-ce,33,https://github.com/Keyfactor/ejbca-ce/issues/33,2022-04-17 22:27:53+00:00,1,1,,,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads),Integration EJBCA in docker container with SMTP server.
Keyfactor/ejbca-ce,55,https://github.com/Keyfactor/ejbca-ce/issues/55,2022-06-29 16:12:31+00:00,6,2,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Notification Events
Keyfactor/ejbca-ce,218,https://github.com/Keyfactor/ejbca-ce/issues/218,2023-01-17 03:06:17+00:00,3,2,,,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads),SM3WithSM2 and SM3 support
Keyfactor/ejbca-ce,261,https://github.com/Keyfactor/ejbca-ce/issues/261,2023-03-16 13:16:08+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),EJBCA-CE: REST End Entity Management V2 broken
Keyfactor/ejbca-ce,473,https://github.com/Keyfactor/ejbca-ce/issues/473,2024-01-16 12:17:55+00:00,8,4,bug,bug,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,[BUG] the admin web page for CMP aliases misses the 'Add' button
Keyfactor/ejbca-ce,520,https://github.com/Keyfactor/ejbca-ce/issues/520,2024-02-27 16:26:21+00:00,3,2,bug,bug,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'bug' present,[BUG] CA rest api not available
Keyfactor/ejbca-ce,568,https://github.com/Keyfactor/ejbca-ce/issues/568,2024-04-09 09:55:37+00:00,0,0,,,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads),EJBCA 8 is not running on wildfly 31 version
Keyfactor/ejbca-ce,577,https://github.com/Keyfactor/ejbca-ce/issues/577,2024-04-26 16:34:34+00:00,3,2,,,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads),HSM generated keys for EJBCAs generated PKCS#12 objects
Keyfactor/ejbca-ce,824,https://github.com/Keyfactor/ejbca-ce/issues/824,2025-03-03 10:09:33+00:00,6,3,bug,bug,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Release 8.3.2 not available for download
Keyfactor/signserver-ce,5,https://github.com/Keyfactor/signserver-ce/issues/5,2022-06-22 16:12:19+00:00,3,2,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Exception: java.lang.NoClassDefFoundError: com/sun/jna/Pointer
hashicorp/vault,13243,https://github.com/hashicorp/vault/issues/13243,2021-11-22 23:51:51+00:00,7,4,"cryptosec, enhancement, secret/transit",cryptosec,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'cryptosec' present,Transit: Support algorithms with large nonces
