s_no,repo,issue_number,Associated Component,acc_component,component_agree,codes_primary,acc_code_primary,code_agree
1,notaryproject/notation,379,Notation core,notation - CLI,True,Issue is described in another PR so this is minimal context,"Internal task/PR: remove signature caching behavior across commands (sign/verify/etc.), tracking implementation changes rather than a user-…",False
2,notaryproject/notation,383,notation - CLI,"notation - CLI, notation - documentation/help",True,"user wants/suggest to improve the documentation for the notation command ""help"" by adding more illustrative examples to show command usage.",Feature/docs request: add clearer examples to notation command help output so users can understand typical usage from the CLI help text.,True
3,notaryproject/notation,547,"notation CLI, documentation","notation - CLI, notation - documentation/help",True,The user reports that the output of running a notation cli command prompt is not explained and it does not appear in any documention. Thus …,"User is confused because notation verify JSON output includes SkippedByTrustPolicy, but this status is not documented; they ask what it mea…",True
4,notaryproject/notation,574,Notation CLI,notation - CLI,True,"The user raises a problem about integration/portability of notary's default signature version, artifact manifest , being out of touch with …",Feature request: change default signature manifest type because artifact manifests are not widely supported while image manifests are; user…,True
5,notaryproject/notation,655,Notation CLI,notation core,True,The user wants a feature enhancement/feature request to add image verification from containerd to the capabilities of notation. Thsu user w…,Feature request: enable image verification integration for containerd to support runtime image integrity checks.,True
6,notaryproject/notation,659,Notation CLI,notation core,True,"The user raised a concern that notation currently suports referrer API from openncontainers (OCI), but that this supports also includes the…","Release/roadmap request: mark support OCI Referrer API as experimental, clarifying stability expectations.",True
7,notaryproject/notation,671,notation-cli,notation core,True,This is a user asking for maintainer approval to release a version of notation,"Release process issue: vote/coordination for releasing 1.0.0-rc.5 of notation CLI, tracking release readiness.",True
8,notaryproject/notation,829,Notation CLI,"notation - CLI, notation - error messages",True,"User reports an issue that When the signing time is not within the validity period of the certificate, the signing failure/error message do…",User reports signing fails when signing time is outside certificate validity; asks to improve the failure prompt to include expiration/vali…,True
9,notaryproject/notation,851,Notation-core,notation core,True,the user set this issue to track a discussion thread. thus little detail provided here.,Internal fix task: track/adjust setHttpDebugLog function behavior; implementation cleanup rather than a user-reported usability complaint.,False
10,notaryproject/notation,880,Notation-release,notation core,True,"This is an issue stating plans for releasing ntation v1.2, thus not a problem report.",Planning issue: Notation 1.2.0 release plan/tracking rather than a runtime defect.,True
11,notaryproject/notation,1012,notation documentation; signing workflow; verification workflow,notation core,True,issue says that some details about blob sign/verfy were still left in the specification files for v1.1 and that should be removed.,Spec cleanup task: clean up blob sign/verify specs in v1.1.1; maintenance tracking.,True
12,notaryproject/notation,1239,notation core,notation - CLI,True,user asks a question about if deleting certificates also warrants user to delete the cert folder if empty.,"User requests behavior improvement: after notation cert delete, remove the named store directory if it becomes empty to avoid confusing lef…",False
13,openpubkey/openpubkey,4,"Openpubkey Client, OIDC Authentication",openpubkey - authentication (OIDC),True,Users want /requests a pluggability interface to support implementaiton of other OIDC authenticators other than just the current openpubkey…,Feature request: make OIDC providers pluggable because OpkClient currently only supports Google; user wants support for additional provider…,True
14,openpubkey/openpubkey,61,openpubkey,openpubkey - authentication (OIDC/JWKS),True,"User is implementing a ledger for OIDC public key. User however says that the doc states ""kid"" is onl important if the request is to multip…",Design question: how to handle JWKS endpoints where kid is missing or non-unique; user asks what strategy should be used for key selection/…,True
15,openpubkey/openpubkey,100,openpubkey-gitlab integration,openpubkey core,True,issue proposes a solution to an issue described earlier about describing the signing procedure of openpubkey integrated on the gitlab platf…,Design request: propose an approach for GitLab CI support because GitHub-based signing examples do not translate directly to GitLab CI.,True
16,openpubkey/openpubkey,137,openpubkey-Verification,openpubkey - authentication (OIDC/JWKS),True,"User descibes that currently, the VerifierProvider looks up the OP Public Key using the protected header of the ID Token, and because Not e…","Feature request: support verification by JWK thumbprint or alternate lookup when an OP does not provide kid, since current verifier expects…",False
17,openpubkey/openpubkey,157,Openpubkey-OIDC Authentication,openpubkey - authentication (OIDC provider),True,The user describes that currently an error message that currently happens when trying to authenticate via RSA oidc. User has provided/propo…,Investigation task: explore RSA SecurID as an OpenID Provider; includes experimental branch/testing instructions for provider integration w…,True
18,openpubkey/openpubkey,226,openpubkey-web (chooser),openpubkey core,True,"The issue describes a currrent problem with the OP client spinning up/redirecting to several tabs which is hard to manage, suggesting a sol…",Feature request: manage a singleton browser window across OP chooser/provider/cosigner flows to smooth redirects and reduce brittle window …,True
19,openpubkey/openpubkey,254,Openpubkey CLI,"openpubkey - CLI, openpubkey - documentation/help",True,the user says that a lot of commands in the openpubkey CLI assumes that the user is running an ubuntu type installation. User says that Ope…,User notes opkssh install assumes systemd Linux (sudo systemctl restart ssh) and asks for an OS support/test matrix to clarify what is supp…,True
20,sigstore/cosign,1048,cosign CLI,cosign - CLI,True,User reports a current experience and usecases for which Under certain circumstances it might make sense to provide machine-readable output…,"Feature request: provide machine-readable output for cosign subcommands for automation, including certificate/verification details in struc…",True
21,sigstore/cosign,1215,cosign-KMS integration,cosign core,True,"user describes a use case of storing secrets in hashcorp vault, and using one unencrypted key to which will be pulled by the signing agent …",User requests workflow change: prefer using an unencrypted key for image signing in CI to avoid managing encrypted keys and passwords.,True
22,sigstore/cosign,1288,cosign,cosign - CLI,True,User advocate for the inclusion of a permanently/persisted config file for cosign settings/configurations that do not change from command t…,"Feature request: add a cosign configuration file to persist commonly reused flag values, reducing repeated CLI configuration work.",True
23,sigstore/cosign,1321,Cosign-Verification(Verify attestation),cosign core,True,user notes that there is Currently no way to use `cosign` to verify the payload against the signature(s). User suggest adding this function…,Feature request: add DSSE support to verify-attestation to handle DSSE envelope attestations.,True
24,sigstore/cosign,1323,cosign - notification,cosign - contribution/CI,True,"This is an issue to track an issue recorded elsewhere , thus little to no detail to classify this.",Internal tracking: address a code scanning alert/pinned dependency requirement; maintenance/security task rather than user workflow issue.,False
25,sigstore/cosign,1385,cosign,cosign - contribution/CI,True,This si a thread to track testing for a feature being added. it is a discussion among implementers not necessarily reporting any issues. th…,Internal task: review/improve unit and integration tests and increase coverage; not a user-reported issue.,True
26,sigstore/cosign,1443,cosign,cosign core,True,"A user is asking whether cosign could replace SignTool.exe in signing Windows Binaries. Another user opines this same question, while a sig…",User asks whether cosign can replace SignTool.exe for signing Windows binaries using a PFX certificate; seeks feasibility/workflow guidance.,True
27,sigstore/cosign,1554,cosign-signing workflow,cosign core,True,user is requesting for feature to Allow specifying CA chain when not using Fulcio. The user mentions as reasons that there is also a bug in…,Feature request: allow specifying a CA chain when not using Fulcio (local key/PKCS#11/KMS) to enable verification with custom trust chains.,True
