category,chi2,dof,p_value,cramers_v,n_assignments,min_expected,cells_expected_lt5,theme_family
Verification workflow,968.770695204372,7,6.726053648832617e-205,0.2101655251243079,21933,7.3252177084758126,0,Affected-component themes
Key Management Core (secret engine),814.0408413078152,7,1.731453063126987e-171,0.19265224662026514,21933,6.4164500980258055,0,Affected-component themes
Signing workflow,332.86065371314567,7,5.731464856827468e-68,0.12319191649035767,21933,7.166871836958008,0,Affected-component themes
Authentication/Authorization tools,203.16100417145526,7,2.456472721898444e-40,0.09624344412322662,21933,11.476633383486071,0,Affected-component themes
Notification/Logging,97.07127136567269,7,4.338037747727399e-18,0.06652675489691735,21933,11.862171157616377,0,Affected-component themes
Build/CI,91.76249048073566,7,5.3743129280213065e-17,0.0646820203528735,21933,19.029042994574386,0,Affected-component themes
Policy/configuration,55.590302286562995,7,1.1387634916669085e-09,0.05034432223512537,21933,15.924086992203529,0,Affected-component themes
CLI tooling,34.124293763905946,7,1.632617009943188e-05,0.039444169526543664,21933,21.65207677928236,0,Affected-component themes
Documentation/Help,26.94790458468079,7,0.0003405522465047715,0.035052054733528834,21933,13.70724479095427,0,Affected-component themes
Web Client,23.531800112100143,7,0.0013765085905100007,0.032755071820328364,21933,15.276934299913373,0,Affected-component themes
API,17.188733193375374,7,0.016218901312775192,0.02799451294284304,21933,21.163269958510007,0,Affected-component themes
