repo,L1_Theme Secondary,count
Keyfactor/ejbca-ce,Cognitive Friction,166
Keyfactor/ejbca-ce,Functional Gap,63
Keyfactor/ejbca-ce,Functional Reliability,124
Keyfactor/ejbca-ce,Operational Friction,168
Keyfactor/signserver-ce,Cognitive Friction,23
Keyfactor/signserver-ce,Functional Gap,9
Keyfactor/signserver-ce,Functional Reliability,16
Keyfactor/signserver-ce,Operational Friction,22
hashicorp/vault,Cognitive Friction,1701
hashicorp/vault,Functional Gap,1323
hashicorp/vault,Functional Reliability,1317
hashicorp/vault,Operational Friction,1745
notaryproject/notation,Cognitive Friction,196
notaryproject/notation,Functional Gap,168
notaryproject/notation,Functional Reliability,129
notaryproject/notation,Operational Friction,242
openpubkey/openpubkey,Cognitive Friction,75
openpubkey/openpubkey,Functional Gap,70
openpubkey/openpubkey,Functional Reliability,43
openpubkey/openpubkey,Operational Friction,93
sigstore/cosign,Cognitive Friction,605
sigstore/cosign,Functional Gap,315
sigstore/cosign,Functional Reliability,382
sigstore/cosign,Operational Friction,616
sigstore/fulcio,Cognitive Friction,141
sigstore/fulcio,Functional Gap,144
sigstore/fulcio,Functional Reliability,102
sigstore/fulcio,Operational Friction,179
sigstore/rekor,Cognitive Friction,186
sigstore/rekor,Functional Gap,152
sigstore/rekor,Functional Reliability,106
sigstore/rekor,Operational Friction,174
