category,month,month_start,count,expected_count
CLI tooling,2021-11,2021-11-01,71,109.7253792167008
CLI tooling,2021-12,2021-12-01,97,107.02761729023663
CLI tooling,2022-01,2022-01-01,83,104.39618386009516
CLI tooling,2022-02,2022-02-01,109,101.8294481413723
CLI tooling,2022-03,2022-03-01,93,99.32581944444055
CLI tooling,2022-04,2022-04-01,87,96.88374618914685
CLI tooling,2022-05,2022-05-01,92,94.50171494324786
CLI tooling,2022-06,2022-06-01,85,92.1782494844868
CLI tooling,2022-07,2022-07-01,101,89.9119098857304
CLI tooling,2022-08,2022-08-01,99,87.70129162259951
CLI tooling,2022-09,2022-09-01,95,85.54502470303925
CLI tooling,2022-10,2022-10-01,66,83.44177281829052
CLI tooling,2022-11,2022-11-01,100,81.39023251473607
CLI tooling,2022-12,2022-12-01,85,79.38913238610786
CLI tooling,2023-01,2023-01-01,88,77.43723228555513
CLI tooling,2023-02,2023-02-01,74,75.53332255708517
CLI tooling,2023-03,2023-03-01,91,73.67622328590011
CLI tooling,2023-04,2023-04-01,92,71.86478356716528
CLI tooling,2023-05,2023-05-01,73,70.09788079275611
CLI tooling,2023-06,2023-06-01,75,68.37441995554137
CLI tooling,2023-07,2023-07-01,75,66.69333297077154
CLI tooling,2023-08,2023-08-01,56,65.05357801415198
CLI tooling,2023-09,2023-09-01,67,63.454138876190555
CLI tooling,2023-10,2023-10-01,49,61.89402433241962
CLI tooling,2023-11,2023-11-01,88,60.37226752910175
CLI tooling,2023-12,2023-12-01,69,58.8879253840392
CLI tooling,2024-01,2024-01-01,61,57.44007800211516
CLI tooling,2024-02,2024-02-01,58,56.02782810520478
CLI tooling,2024-03,2024-03-01,75,54.65030047610278
CLI tooling,2024-04,2024-04-01,64,53.30664141612283
CLI tooling,2024-05,2024-05-01,43,51.99601821603272
CLI tooling,2024-06,2024-06-01,51,50.71761863999735
CLI tooling,2024-07,2024-07-01,58,49.470650422209786
CLI tooling,2024-08,2024-08-01,36,48.254340775898314
CLI tooling,2024-09,2024-09-01,37,47.06793591440542
CLI tooling,2024-10,2024-10-01,41,45.910700584041564
CLI tooling,2024-11,2024-11-01,42,44.781917608424635
CLI tooling,2024-12,2024-12-01,38,43.680887444022396
CLI tooling,2025-01,2025-01-01,44,42.60692774662256
CLI tooling,2025-02,2025-02-01,50,41.55937294846195
CLI tooling,2025-03,2025-03-01,49,40.537573845752426
CLI tooling,2025-04,2025-04-01,30,39.54089719634828
CLI tooling,2025-05,2025-05-01,31,38.56872532730538
CLI tooling,2025-06,2025-06-01,28,37.62045575208917
CLI tooling,2025-07,2025-07-01,41,36.69550079719421
CLI tooling,2025-08,2025-08-01,28,35.79328723794375
CLI tooling,2025-09,2025-09-01,22,34.91325594324377
CLI tooling,2025-10,2025-10-01,54,34.0548615290712
CLI tooling,2025-11,2025-11-01,4,33.217572020481796
API,2021-11,2021-11-01,75,108.67798076210643
API,2021-12,2021-12-01,101,105.93240609303227
API,2022-01,2022-01-01,85,103.25619395913414
API,2022-02,2022-02-01,111,100.64759202734285
API,2022-03,2022-03-01,98,98.10489223447068
API,2022-04,2022-04-01,82,95.6264296688032
API,2022-05,2022-05-01,92,93.21058147994722
API,2022-06,2022-06-01,81,90.85576581621851
API,2022-07,2022-07-01,94,88.56044078887578
API,2022-08,2022-08-01,93,86.32310346252052
API,2022-09,2022-09-01,94,84.14228887100397
API,2022-10,2022-10-01,64,82.01656905819438
API,2022-11,2022-11-01,100,79.94455214297895
API,2022-12,2022-12-01,79,77.9248814078858
API,2023-01,2023-01-01,82,75.95623441073171
API,2023-02,2023-02-01,70,74.0373221187113
API,2023-03,2023-03-01,92,72.16688806436332
API,2023-04,2023-04-01,82,70.34370752285932
API,2023-05,2023-05-01,69,68.56658671007673
API,2023-06,2023-06-01,69,66.83436200093219
API,2023-07,2023-07-01,73,65.1458991674612
API,2023-08,2023-08-01,55,63.50009263614772
API,2023-09,2023-09-01,61,61.89586476401505
API,2023-10,2023-10-01,47,60.33216513300601
API,2023-11,2023-11-01,93,58.80796986218866
API,2023-12,2023-12-01,62,57.32228093733891
API,2024-01,2024-01-01,63,55.87412555745918
API,2024-02,2024-02-01,61,54.46255549780717
API,2024-03,2024-03-01,76,53.08664648901594
API,2024-04,2024-04-01,76,51.74549761189993
API,2024-05,2024-05-01,40,50.43823070755012
API,2024-06,2024-06-01,47,49.16398980233217
API,2024-07,2024-07-01,55,47.92194054741109
API,2024-08,2024-08-01,37,46.71126967243543
API,2024-09,2024-09-01,33,45.5311844530232
API,2024-10,2024-10-01,38,44.38091219170097
API,2024-11,2024-11-01,37,43.25969971195617
API,2024-12,2024-12-01,39,42.16681286507143
API,2025-01,2025-01-01,44,41.10153604941775
API,2025-02,2025-02-01,47,40.06317174189222
API,2025-03,2025-03-01,48,39.051040041193026
API,2025-04,2025-04-01,34,38.06447822263297
API,2025-05,2025-05-01,29,37.10284030419987
API,2025-06,2025-06-01,28,36.16549662357977
API,2025-07,2025-07-01,38,35.25183342586596
API,2025-08,2025-08-01,29,34.36125246168389
API,2025-09,2025-09-01,21,33.493170595468776
API,2025-10,2025-10-01,46,32.647019423639485
API,2025-11,2025-11-01,4,31.822244902418635
Build/CI,2021-11,2021-11-01,66,98.90846685214433
Build/CI,2021-12,2021-12-01,99,96.34813927529264
Build/CI,2022-01,2022-01-01,82,93.85408789813764
Build/CI,2022-02,2022-02-01,97,91.42459710636267
Build/CI,2022-03,2022-03-01,90,89.05799569574843
Build/CI,2022-04,2022-04-01,76,86.7526557225809
Build/CI,2022-05,2022-05-01,82,84.50699138381735
Build/CI,2022-06,2022-06-01,73,82.31945792623989
Build/CI,2022-07,2022-07-01,88,80.18855058384723
Build/CI,2022-08,2022-08-01,77,78.11280354275213
Build/CI,2022-09,2022-09-01,72,76.09078893287376
Build/CI,2022-10,2022-10-01,56,74.12111584573081
Build/CI,2022-11,2022-11-01,86,72.20242937765997
Build/CI,2022-12,2022-12-01,79,70.33340969780126
Build/CI,2023-01,2023-01-01,76,68.51277114020962
Build/CI,2023-02,2023-02-01,67,66.73926131946767
Build/CI,2023-03,2023-03-01,82,65.01166026919175
Build/CI,2023-04,2023-04-01,77,63.32877960283845
Build/CI,2023-05,2023-05-01,62,61.68946169623403
Build/CI,2023-06,2023-06-01,72,60.09257889126535
Build/CI,2023-07,2023-07-01,56,58.537032720183355
Build/CI,2023-08,2023-08-01,48,57.02175314998642
Build/CI,2023-09,2023-09-01,59,55.54569784636329
Build/CI,2023-10,2023-10-01,43,54.107851456689595
Build/CI,2023-11,2023-11-01,74,52.70722491158453
