category,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Signing workflow,-0.029909665177527807,0.0023087629552075877,2.2058248910851802e-38,0.9705332025332217,0.9661512915032215,0.974934987411597,-2.946679746677827,-3.3848708496778457,-2.506501258840299,49,1041,49,47.0,67.73903711580272,68.6843285405075,1.4412561088468663,1.4613686923512232,False,False,0.0,5.756260631409886e-06,0.08693255961538451,False,True
Verification workflow,-0.029104034407831773,0.0022775419013930623,2.1563195510910226e-37,0.9713154089866807,0.9669891377444773,0.975661035795695,-2.8684591013319327,-3.3010862255522744,-2.4338964204305036,49,1064,49,47.0,100.0617490496783,93.87861223902564,2.1289733840357083,1.9974172816813967,True,False,0.0,3.64383220703203e-06,0.6231258504053552,False,True
Build/CI,-0.026226762664633894,0.0014003324077549086,2.8750396996029115e-78,0.9741141718364813,0.9714442335959789,0.9767914481927105,-2.58858281635187,-2.8555766404021132,-2.3208551807289535,49,2764,49,47.0,115.75041055590451,128.51363607627428,2.462774692678819,2.7343326824739207,True,False,0.0,2.4228088598768353e-14,0.8193867653380038,False,True
API,-0.025587992380328415,0.0013253309570550236,4.7022093941234675e-83,0.9747366057979664,0.9722078683523195,0.977271920554163,-2.5263394202033607,-2.7792131647680463,-2.272807944583699,49,3074,49,47.0,139.23869137059896,150.4509033215839,2.962525348310616,3.201083049395402,True,False,0.0,5.430283182418916e-16,0.7606451817300454,False,True
Notification/Logging,-0.025209783200321315,0.0017682942667732987,4.0811353166728845e-46,0.9751053298533843,0.9717316042533837,0.9784907685893725,-2.4894670146615727,-2.8268395746616326,-2.150923141062755,49,1723,49,47.0,97.11246435845423,109.95434121110915,2.066222645924558,2.3394540683214715,True,False,0.0,7.90059428711577e-10,0.3765088632803004,False,True
CLI tooling,-0.02489378495840195,0.0013076501294197523,8.41545487034717e-81,0.9754135101129497,0.9729167318724921,0.9779166957892936,-2.4586489887050256,-2.7083268127507942,-2.2083304210706367,49,3145,49,47.0,139.0826071103957,153.8601613743591,2.9592044066041643,3.273620454773598,True,False,0.0,1.3332940385856846e-16,0.6349297647743357,False,True
Policy/configuration,-0.024334507199912307,0.0015223890425198159,1.640847138923393e-57,0.9759591897735113,0.9730513826385845,0.9788756864211245,-2.404081022648874,-2.6948617361415517,-2.1124313578875453,49,2313,49,47.0,105.66557814062739,113.53316046616663,2.2482037902261145,2.4155991588546093,True,False,0.0,7.224264992509303e-13,0.8624624621974556,False,True
Documentation/Help,-0.024294677084987525,0.0016407006702822903,1.3102121506498182e-49,0.9759980631143615,0.9728645156782205,0.979141703548424,-2.4001936885638453,-2.713548432177948,-2.0858296451575997,49,1991,49,47.0,110.89192839121972,120.98338970218131,2.3594027317280792,2.574114674514496,True,False,0.0,2.4857559308948936e-11,0.6462217948143285,False,True
Web Client,-0.023912226416987897,0.0015524747740674654,1.5709578842106309e-53,0.9763714056135594,0.9734049688387156,0.9793468825591655,-2.3628594386440605,-2.6595031161284366,-2.0653117440834534,49,2219,49,47.0,105.82107246987849,118.60614290936496,2.2515121802101805,2.5235349555184032,True,False,0.0,1.531818999738827e-12,0.16215184546791303,False,True
Key Management Core (secret engine),-0.021628407497160912,0.0023811086719965394,1.0529801567360841e-19,0.9786038093350862,0.9740473325293985,0.9831816007937556,-2.139619066491383,-2.5952667470601543,-1.6818399206244394,49,932,49,47.0,59.01056324115352,61.017979833065226,1.2555438987479473,1.2982548900652175,False,False,0.0,1.8462335271163056e-06,0.1740642320335924,False,True
Authentication/Authorization tools,-0.02130729320437538,0.0017789804653732249,4.6757962168568754e-33,0.9789181034647059,0.9755107539736797,0.9823373544447794,-2.108189653529413,-2.44892460263203,-1.7662645555220569,49,1667,49,47.0,104.54468161338087,110.79611612874385,2.224354927944274,2.3573641729519967,True,False,0.0,1.9549235775477594e-10,0.42526500869089023,False,True
