category,month,month_start,count,expected_count
Notification/Logging /Web UI Issues,2021-11,2021-11-01,56,90.54197297890964
Notification/Logging /Web UI Issues,2021-12,2021-12-01,76,88.33154858056044
Notification/Logging /Web UI Issues,2022-01,2022-01-01,69,86.17508783972892
Notification/Logging /Web UI Issues,2022-02,2022-02-01,94,84.07127332780976
Notification/Logging /Web UI Issues,2022-03,2022-03-01,79,82.01881977891965
Notification/Logging /Web UI Issues,2022-04,2022-04-01,68,80.01647330470088
Notification/Logging /Web UI Issues,2022-05,2022-05-01,74,78.06301062829363
Notification/Logging /Web UI Issues,2022-06,2022-06-01,79,76.15723833700982
Notification/Logging /Web UI Issues,2022-07,2022-07-01,74,74.2979921532511
Notification/Logging /Web UI Issues,2022-08,2022-08-01,80,72.4841362232267
Notification/Logging /Web UI Issues,2022-09,2022-09-01,81,70.71456242303555
Notification/Logging /Web UI Issues,2022-10,2022-10-01,60,68.98818968168966
Notification/Logging /Web UI Issues,2022-11,2022-11-01,84,67.30396332066404
Notification/Logging /Web UI Issues,2022-12,2022-12-01,74,65.66085440957094
Notification/Logging /Web UI Issues,2023-01,2023-01-01,72,64.05785913756397
Notification/Logging /Web UI Issues,2023-02,2023-02-01,50,62.49399820008837
Notification/Logging /Web UI Issues,2023-03,2023-03-01,80,60.96831620060241
Notification/Logging /Web UI Issues,2023-04,2023-04-01,71,59.47988106690511
Notification/Logging /Web UI Issues,2023-05,2023-05-01,57,58.02778348171303
Notification/Logging /Web UI Issues,2023-06,2023-06-01,67,56.611136327138865
Notification/Logging /Web UI Issues,2023-07,2023-07-01,68,55.22907414273154
Notification/Logging /Web UI Issues,2023-08,2023-08-01,47,53.88075259674789
Notification/Logging /Web UI Issues,2023-09,2023-09-01,49,52.56534797033213
Notification/Logging /Web UI Issues,2023-10,2023-10-01,41,51.28205665428796
Notification/Logging /Web UI Issues,2023-11,2023-11-01,70,50.030094658136534
Notification/Logging /Web UI Issues,2023-12,2023-12-01,60,48.80869713115944
Notification/Logging /Web UI Issues,2024-01,2024-01-01,56,47.61711789513503
