category,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Build/CI/installation/distribution release issues,-0.026314990953074407,0.0014600134287543877,1.2673051771539826e-72,0.9740282312016079,0.971244910689409,0.9768195279440948,-2.5971768798392136,-2.875508931059101,-2.3180472055905232,49,2544,49,47.0,113.11595318600627,122.99666727009381,2.4067224082128993,2.6169503674488044,True,False,0.0,2.554999936006829e-13,0.7110637049152034,False,True
Missing feature / enhancement request,-0.025918635508878966,0.0015527052006826633,1.484485249194355e-62,0.9744143691127212,0.9714534395130199,0.9773843234414913,-2.558563088727883,-2.854656048698012,-2.2615676558508713,49,2244,49,47.0,103.32148563766087,113.5957591273977,2.198329481652359,2.4169310452637807,True,False,0.0,4.484710575313116e-12,0.5279015768147561,False,True
User confusion / unclear documentation/documentation improvements,-0.025061037471526913,0.0015141241731650853,1.561435872117797e-61,0.9752503833941044,0.972360439380969,0.9781489165847309,-2.4749616605895586,-2.7639560619030945,-2.185108341526909,49,2348,49,47.0,128.80687206610747,138.96149683304333,2.740571746087393,2.9566275921924112,True,False,0.0,8.223761650116928e-13,0.8630629967378871,False,True
Notification/Logging /Web UI Issues,-0.024716200645207968,0.0014363532197672563,2.328600951533466e-66,0.9755867436325458,0.9728440832501388,0.9783371361748157,-2.4413256367454172,-2.7155916749861175,-2.166286382518434,49,2604,49,47.0,120.24371842274655,134.2794785414939,2.558376987718012,2.8570101817339126,True,False,0.0,3.966820502301117e-14,0.4928948458197404,False,True
Performance issue,-0.02373202577494808,0.0022622349513775042,9.549920545089363e-26,0.9765473642211712,0.9722269576239404,0.9808869699498589,-2.3452635778828834,-2.77730423760596,-1.9113030050141089,49,1044,49,47.0,79.09735234147752,85.87148389569302,1.6829223902442025,1.8270528488445323,True,False,0.0,8.990027023109483e-07,0.009192121869524408,True,True
Configuration friction,-0.023091827804234518,0.0014957085417235073,8.986378543377517e-54,0.9771727480254128,0.9743122743134206,0.9800416197737151,-2.2827251974587237,-2.56877256865794,-1.9958380226284933,49,2380,49,47.0,110.18920719378524,120.55165296549727,2.3444512168890475,2.5649287864999417,True,False,0.0,1.385417949325552e-13,0.7250323994249861,False,True
Integration failure/issues,-0.022937425599307684,0.001748566647921647,2.6023133462791052e-39,0.977323637300821,0.9739798959809814,0.980678857919217,-2.2676362699179053,-2.6020104019018553,-1.932114208078295,49,1740,49,47.0,87.09398178170835,93.50489356634628,1.8530634421640075,1.9894658205605593,True,False,0.0,1.9728443027070212e-10,0.3429092872846995,False,True
Unexpected behavior,-0.02221874786320276,0.001918486492122882,5.120654663687926e-31,0.9780262704930918,0.9743555689954095,0.9817108006688396,-2.1973729506908235,-2.564443100459046,-1.8289199331160355,49,1440,49,47.0,84.05997772260379,87.4953267046115,1.7885101643107189,1.8616026958427978,True,False,0.0,4.7155689952741275e-09,0.19670478597706445,False,True
Authentication friction,-0.02124214019447564,0.00174701670791167,5.132480426265188e-34,0.978981885003349,0.9756354341412233,0.9823398142650701,-2.101811499665096,-2.4364565858776666,-1.766018573492989,49,1728,49,47.0,107.91977433180652,114.21224092379325,2.2961654113150325,2.4300476792296437,True,False,0.0,8.987379989621878e-11,0.6617815853593463,False,True
Security concerns,-0.0211500314568294,0.0024601475629632444,8.178560925920153e-18,0.9790720619419334,0.9743624486593964,0.9838044392968149,-2.0927938058066586,-2.5637551340603637,-1.6195560703185063,49,871,49,47.0,61.810946638794235,64.29199061581086,1.3151265242296646,1.3679146939534226,False,False,0.0,3.4806908462852604e-06,0.5415015631881193,False,True
Tedious Workflows,-0.016554985624502146,0.003974571709943755,3.110455907983546e-05,0.9835812950719979,0.9759488066222698,0.991273474029609,-1.6418704928002126,-2.4051193377730207,-0.872652597039103,49,327,49,47.0,59.17380474111019,62.23297741302318,1.2590171221512807,1.3241059024047486,False,False,0.02040816326530612,0.00312816126633002,0.7198589388531147,False,True
