category,month,month_start,count,expected_count
Notification/Logging /Web UI Issues,2021-11,2021-11-01,56,90.54197297890956
Notification/Logging /Web UI Issues,2021-12,2021-12-01,76,88.33154858056035
Notification/Logging /Web UI Issues,2022-01,2022-01-01,69,86.17508783972885
Notification/Logging /Web UI Issues,2022-02,2022-02-01,94,84.07127332780969
Notification/Logging /Web UI Issues,2022-03,2022-03-01,79,82.01881977891958
Notification/Logging /Web UI Issues,2022-04,2022-04-01,68,80.01647330470081
Notification/Logging /Web UI Issues,2022-05,2022-05-01,74,78.06301062829355
Notification/Logging /Web UI Issues,2022-06,2022-06-01,79,76.15723833700974
Notification/Logging /Web UI Issues,2022-07,2022-07-01,74,74.29799215325103
Notification/Logging /Web UI Issues,2022-08,2022-08-01,80,72.48413622322664
Notification/Logging /Web UI Issues,2022-09,2022-09-01,81,70.71456242303549
Notification/Logging /Web UI Issues,2022-10,2022-10-01,60,68.9881896816896
Notification/Logging /Web UI Issues,2022-11,2022-11-01,84,67.30396332066397
Notification/Logging /Web UI Issues,2022-12,2022-12-01,74,65.66085440957083
Notification/Logging /Web UI Issues,2023-01,2023-01-01,72,64.05785913756391
Notification/Logging /Web UI Issues,2023-02,2023-02-01,50,62.49399820008831
Notification/Logging /Web UI Issues,2023-03,2023-03-01,80,60.96831620060235
Notification/Logging /Web UI Issues,2023-04,2023-04-01,71,59.479881066905
Notification/Logging /Web UI Issues,2023-05,2023-05-01,57,58.02778348171298
Notification/Logging /Web UI Issues,2023-06,2023-06-01,67,56.611136327138816
Notification/Logging /Web UI Issues,2023-07,2023-07-01,68,55.22907414273144
Notification/Logging /Web UI Issues,2023-08,2023-08-01,47,53.88075259674782
Notification/Logging /Web UI Issues,2023-09,2023-09-01,49,52.565347970332056
Notification/Logging /Web UI Issues,2023-10,2023-10-01,41,51.28205665428791
Notification/Logging /Web UI Issues,2023-11,2023-11-01,70,50.03009465813647
Notification/Logging /Web UI Issues,2023-12,2023-12-01,60,48.80869713115937
Notification/Logging /Web UI Issues,2024-01,2024-01-01,56,47.61711789513497
Notification/Logging /Web UI Issues,2024-02,2024-02-01,54,46.45462898848174
Notification/Logging /Web UI Issues,2024-03,2024-03-01,59,45.32052022153098
Notification/Logging /Web UI Issues,2024-04,2024-04-01,62,44.21409874265634
Notification/Logging /Web UI Issues,2024-05,2024-05-01,34,43.13468861499595
Notification/Logging /Web UI Issues,2024-06,2024-06-01,41,42.08163040350774
Notification/Logging /Web UI Issues,2024-07,2024-07-01,47,41.054280772106445
Notification/Logging /Web UI Issues,2024-08,2024-08-01,32,40.05201209063558
Notification/Logging /Web UI Issues,2024-09,2024-09-01,28,39.07421205143453
Notification/Logging /Web UI Issues,2024-10,2024-10-01,31,38.12028329526658
Notification/Logging /Web UI Issues,2024-11,2024-11-01,28,37.18964304637925
Notification/Logging /Web UI Issues,2024-12,2024-12-01,35,36.2817227564739
Notification/Logging /Web UI Issues,2025-01,2025-01-01,34,35.395967757367195
Notification/Logging /Web UI Issues,2025-02,2025-02-01,43,34.531836922132456
Notification/Logging /Web UI Issues,2025-03,2025-03-01,40,33.68880233451331
Notification/Logging /Web UI Issues,2025-04,2025-04-01,30,32.86634896640836
Notification/Logging /Web UI Issues,2025-05,2025-05-01,30,32.063974363229214
Notification/Logging /Web UI Issues,2025-06,2025-06-01,27,31.281188336940215
Notification/Logging /Web UI Issues,2025-07,2025-07-01,30,30.517512666591884
Notification/Logging /Web UI Issues,2025-08,2025-08-01,22,29.772480806165355
Notification/Logging /Web UI Issues,2025-09,2025-09-01,20,29.045637599549323
Notification/Logging /Web UI Issues,2025-10,2025-10-01,38,28.336539002475355
Notification/Logging /Web UI Issues,2025-11,2025-11-01,3,27.64475181124157
Build/CI/installation/distribution release issues,2021-11,2021-11-01,61,91.18768177010791
Build/CI/installation/distribution release issues,2021-12,2021-12-01,80,88.81937638191332
Build/CI/installation/distribution release issues,2022-01,2022-01-01,73,86.51258007370488
Build/CI/installation/distribution release issues,2022-02,2022-02-01,93,84.26569534587823
Build/CI/installation/distribution release issues,2022-03,2022-03-01,82,82.07716618871933
Build/CI/installation/distribution release issues,2022-04,2022-04-01,73,79.94547700483871
Build/CI/installation/distribution release issues,2022-05,2022-05-01,78,77.86915155959186
Build/CI/installation/distribution release issues,2022-06,2022-06-01,66,75.84675195875919
Build/CI/installation/distribution release issues,2022-07,2022-07-01,86,73.8768776527773
Build/CI/installation/distribution release issues,2022-08,2022-08-01,69,71.95816446683226
Build/CI/installation/distribution release issues,2022-09,2022-09-01,69,70.08928365614301
Build/CI/installation/distribution release issues,2022-10,2022-10-01,52,68.26894098578069
Build/CI/installation/distribution release issues,2022-11,2022-11-01,83,66.49587583438691
Build/CI/installation/distribution release issues,2022-12,2022-12-01,74,64.76886032116963
Build/CI/installation/distribution release issues,2023-01,2023-01-01,74,63.08669845557285
Build/CI/installation/distribution release issues,2023-02,2023-02-01,62,61.448225309030825
Build/CI/installation/distribution release issues,2023-03,2023-03-01,72,59.85230620823317
Build/CI/installation/distribution release issues,2023-04,2023-04-01,68,58.29783594934237
Build/CI/installation/distribution release issues,2023-05,2023-05-01,58,56.78373803261945
Build/CI/installation/distribution release issues,2023-06,2023-06-01,59,55.308963916927794
Build/CI/installation/distribution release issues,2023-07,2023-07-01,51,53.87249229359873
Build/CI/installation/distribution release issues,2023-08,2023-08-01,43,52.47332837915622
Build/CI/installation/distribution release issues,2023-09,2023-09-01,54,51.11050322641067
Build/CI/installation/distribution release issues,2023-10,2023-10-01,41,49.78307305344485
Build/CI/installation/distribution release issues,2023-11,2023-11-01,69,48.49011859002732
Build/CI/installation/distribution release issues,2023-12,2023-12-01,57,47.23074444100051
Build/CI/installation/distribution release issues,2024-01,2024-01-01,54,46.004078466202905
Build/CI/installation/distribution release issues,2024-02,2024-02-01,49,44.80927117649559
Build/CI/installation/distribution release issues,2024-03,2024-03-01,71,43.64549514547519
Build/CI/installation/distribution release issues,2024-04,2024-04-01,55,42.51194443646554
Build/CI/installation/distribution release issues,2024-05,2024-05-01,33,41.40783404439157
Build/CI/installation/distribution release issues,2024-06,2024-06-01,44,40.332399352148435
Build/CI/installation/distribution release issues,2024-07,2024-07-01,47,39.284895601090014
Build/CI/installation/distribution release issues,2024-08,2024-08-01,32,38.26459737526953
Build/CI/installation/distribution release issues,2024-09,2024-09-01,31,37.27079809907547
Build/CI/installation/distribution release issues,2024-10,2024-10-01,31,36.30280954791473
Build/CI/installation/distribution release issues,2024-11,2024-11-01,30,35.35996137160421
Build/CI/installation/distribution release issues,2024-12,2024-12-01,35,34.441600630140826
Build/CI/installation/distribution release issues,2025-01,2025-01-01,32,33.54709134152825
Build/CI/installation/distribution release issues,2025-02,2025-02-01,32,32.675814041347536
Build/CI/installation/distribution release issues,2025-03,2025-03-01,40,31.827165353766404
Build/CI/installation/distribution release issues,2025-04,2025-04-01,28,31.000557573690187
Build/CI/installation/distribution release issues,2025-05,2025-05-01,23,30.19541825976506
Build/CI/installation/distribution release issues,2025-06,2025-06-01,25,29.411189837951692
Build/CI/installation/distribution release issues,2025-07,2025-07-01,26,28.64732921539479
Build/CI/installation/distribution release issues,2025-08,2025-08-01,20,27.903307404321133
Build/CI/installation/distribution release issues,2025-09,2025-09-01,18,27.17860915570564
Build/CI/installation/distribution release issues,2025-10,2025-10-01,38,26.47273260245179
Build/CI/installation/distribution release issues,2025-11,2025-11-01,3,25.785188911839253
Configuration friction,2021-11,2021-11-01,55,80.19602393965035
Configuration friction,2021-12,2021-12-01,73,78.3653690938199
Configuration friction,2022-01,2022-01-01,64,76.57650306743378
Configuration friction,2022-02,2022-02-01,84,74.82847193658068
Configuration friction,2022-03,2022-03-01,68,73.12034355281106
Configuration friction,2022-04,2022-04-01,66,71.45120704606263
Configuration friction,2022-05,2022-05-01,67,69.8201723389338
Configuration friction,2022-06,2022-06-01,61,68.22636967204383
Configuration friction,2022-07,2022-07-01,63,66.66894914022873
Configuration friction,2022-08,2022-08-01,63,65.14708023932383
Configuration friction,2022-09,2022-09-01,69,63.6599514232921
Configuration friction,2022-10,2022-10-01,52,62.20676967146266
Configuration friction,2022-11,2022-11-01,75,60.78676006564705
Configuration friction,2022-12,2022-12-01,71,59.39916537690978
Configuration friction,2023-01,2023-01-01,55,58.04324566177086
Configuration friction,2023-02,2023-02-01,53,56.71827786762673
Configuration friction,2023-03,2023-03-01,71,55.42355544717779
Configuration friction,2023-04,2023-04-01,73,54.15838798165756
Configuration friction,2023-05,2023-05-01,55,52.92210081266281
Configuration friction,2023-06,2023-06-01,57,51.714034682387634
Configuration friction,2023-07,2023-07-01,54,50.53354538207023
Configuration friction,2023-08,2023-08-01,42,49.38000340846448
Configuration friction,2023-09,2023-09-01,47,48.25279362815349
Configuration friction,2023-10,2023-10-01,46,47.15131494952587
Configuration friction,2023-11,2023-11-01,73,46.07498000223993
Configuration friction,2023-12,2023-12-01,55,45.02321482400473
Configuration friction,2024-01,2024-01-01,51,43.995458554511195
Configuration friction,2024-02,2024-02-01,47,42.99116313634988
Configuration friction,2024-03,2024-03-01,56,42.00979302275582
Configuration friction,2024-04,2024-04-01,56,41.05082489202512
Configuration friction,2024-05,2024-05-01,31,40.113747368450205
Configuration friction,2024-06,2024-06-01,41,39.19806074962566
Configuration friction,2024-07,2024-07-01,42,38.303276739978784
Configuration friction,2024-08,2024-08-01,25,37.42891819038293
Configuration friction,2024-09,2024-09-01,32,36.57451884371486
Configuration friction,2024-10,2024-10-01,29,35.739623086220085
Configuration friction,2024-11,2024-11-01,25,34.92378570455417
Configuration friction,2024-12,2024-12-01,29,34.126571648369826
Configuration friction,2025-01,2025-01-01,34,33.34755579832368
Configuration friction,2025-02,2025-02-01,29,32.586322739378744
Configuration friction,2025-03,2025-03-01,38,31.842466539281727
Configuration friction,2025-04,2025-04-01,31,31.115590532097183
Configuration friction,2025-05,2025-05-01,29,30.40530710668291
Configuration friction,2025-06,2025-06-01,25,29.711237499993953
Configuration friction,2025-07,2025-07-01,35,29.03301159510479
Configuration friction,2025-08,2025-08-01,23,28.370267723842225
Configuration friction,2025-09,2025-09-01,18,27.722652473923574
Configuration friction,2025-10,2025-10-01,39,27.089820500497417
Configuration friction,2025-11,2025-11-01,3,26.47143434198622
User confusion / unclear documentation/documentation improvements,2021-11,2021-11-01,54,82.18143351961086
User confusion / unclear documentation/documentation improvements,2021-12,2021-12-01,74,80.14747454787758
User confusion / unclear documentation/documentation improvements,2022-01,2022-01-01,59,78.16385528088689
User confusion / unclear documentation/documentation improvements,2022-02,2022-02-01,80,76.22932983024621
User confusion / unclear documentation/documentation improvements,2022-03,2022-03-01,73,74.3426831428233
User confusion / unclear documentation/documentation improvements,2022-04,2022-04-01,60,72.50273023758483
User confusion / unclear documentation/documentation improvements,2022-05,2022-05-01,72,70.70831546132392
User confusion / unclear documentation/documentation improvements,2022-06,2022-06-01,72,68.95831176280748
User confusion / unclear documentation/documentation improvements,2022-07,2022-07-01,70,67.25161998488815
User confusion / unclear documentation/documentation improvements,2022-08,2022-08-01,70,65.58716817413678
User confusion / unclear documentation/documentation improvements,2022-09,2022-09-01,61,63.96391090756053
User confusion / unclear documentation/documentation improvements,2022-10,2022-10-01,48,62.38082863598473
User confusion / unclear documentation/documentation improvements,2022-11,2022-11-01,77,60.836927043686075
User confusion / unclear documentation/documentation improvements,2022-12,2022-12-01,69,59.33123642387399
User confusion / unclear documentation/documentation improvements,2023-01,2023-01-01,61,57.862811069629345
User confusion / unclear documentation/documentation improvements,2023-02,2023-02-01,51,56.43072867991668
User confusion / unclear documentation/documentation improvements,2023-03,2023-03-01,74,55.034089780297414
User confusion / unclear documentation/documentation improvements,2023-04,2023-04-01,62,53.672017157980626
User confusion / unclear documentation/documentation improvements,2023-05,2023-05-01,47,52.34365531085557
User confusion / unclear documentation/documentation improvements,2023-06,2023-06-01,61,51.04816991016075
User confusion / unclear documentation/documentation improvements,2023-07,2023-07-01,58,49.78474727645167
User confusion / unclear documentation/documentation improvements,2023-08,2023-08-01,43,48.55259386853807
User confusion / unclear documentation/documentation improvements,2023-09,2023-09-01,56,47.35093578507001
User confusion / unclear documentation/documentation improvements,2023-10,2023-10-01,39,46.179018278459154
User confusion / unclear documentation/documentation improvements,2023-11,2023-11-01,73,45.036105280830654
User confusion / unclear documentation/documentation improvements,2023-12,2023-12-01,49,43.92147894170735
User confusion / unclear documentation/documentation improvements,2024-01,2024-01-01,44,42.83443917713617
User confusion / unclear documentation/documentation improvements,2024-02,2024-02-01,46,41.774303229973505
User confusion / unclear documentation/documentation improvements,2024-03,2024-03-01,61,40.74040524105324
User confusion / unclear documentation/documentation improvements,2024-04,2024-04-01,58,39.73209583096836
User confusion / unclear documentation/documentation improvements,2024-05,2024-05-01,32,38.7487416922032
User confusion / unclear documentation/documentation improvements,2024-06,2024-06-01,34,37.78972519136027
User confusion / unclear documentation/documentation improvements,2024-07,2024-07-01,44,36.85444398123197
User confusion / unclear documentation/documentation improvements,2024-08,2024-08-01,30,35.94231062247302
User confusion / unclear documentation/documentation improvements,2024-09,2024-09-01,27,35.0527522146368
User confusion / unclear documentation/documentation improvements,2024-10,2024-10-01,29,34.185210036343086
User confusion / unclear documentation/documentation improvements,2024-11,2024-11-01,26,33.33913919435159
User confusion / unclear documentation/documentation improvements,2024-12,2024-12-01,32,32.514008281320805
User confusion / unclear documentation/documentation improvements,2025-01,2025-01-01,30,31.70929904203721
User confusion / unclear documentation/documentation improvements,2025-02,2025-02-01,31,30.924506047905087
User confusion / unclear documentation/documentation improvements,2025-03,2025-03-01,41,30.159136379492743
User confusion / unclear documentation/documentation improvements,2025-04,2025-04-01,25,29.412709316935388
User confusion / unclear documentation/documentation improvements,2025-05,2025-05-01,22,28.68475603800059
User confusion / unclear documentation/documentation improvements,2025-06,2025-06-01,24,27.97481932362643
User confusion / unclear documentation/documentation improvements,2025-07,2025-07-01,28,27.28245327074747
User confusion / unclear documentation/documentation improvements,2025-08,2025-08-01,22,26.607223012228214
User confusion / unclear documentation/documentation improvements,2025-09,2025-09-01,10,25.94870444372801
User confusion / unclear documentation/documentation improvements,2025-10,2025-10-01,36,25.306483957326034
User confusion / unclear documentation/documentation improvements,2025-11,2025-11-01,3,24.68015818173898
Missing feature / enhancement request,2021-11,2021-11-01,54,79.83368409487835
Missing feature / enhancement request,2021-12,2021-12-01,73,77.79108892125515
Missing feature / enhancement request,2022-01,2022-01-01,61,75.80075483379649
Missing feature / enhancement request,2022-02,2022-02-01,85,73.86134469964185
Missing feature / enhancement request,2022-03,2022-03-01,70,71.97155559731873
Missing feature / enhancement request,2022-04,2022-04-01,60,70.13011794142245
Missing feature / enhancement request,2022-05,2022-05-01,70,68.33579462969193
Missing feature / enhancement request,2022-06,2022-06-01,59,66.58738021190773
Missing feature / enhancement request,2022-07,2022-07-01,69,64.88370008005495
Missing feature / enhancement request,2022-08,2022-08-01,60,63.22360967920576
Missing feature / enhancement request,2022-09,2022-09-01,63,61.605993738592254
Missing feature / enhancement request,2022-10,2022-10-01,43,60.02976552235261
Missing feature / enhancement request,2022-11,2022-11-01,72,58.49386609944779
Missing feature / enhancement request,2022-12,2022-12-01,64,56.9972636322574
Missing feature / enhancement request,2023-01,2023-01-01,64,55.53895268337758
Missing feature / enhancement request,2023-02,2023-02-01,54,54.11795354015463
Missing feature / enhancement request,2023-03,2023-03-01,62,52.73331155650132
Missing feature / enhancement request,2023-04,2023-04-01,58,51.38409651155281
Missing feature / enhancement request,2023-05,2023-05-01,53,50.069401984731925
Missing feature / enhancement request,2023-06,2023-06-01,55,48.78834474680378
Missing feature / enhancement request,2023-07,2023-07-01,56,47.540064166510746
Missing feature / enhancement request,2023-08,2023-08-01,42,46.32372163238886
Missing feature / enhancement request,2023-09,2023-09-01,48,45.13849998937752
Missing feature / enhancement request,2023-10,2023-10-01,33,43.98360298984386
Missing feature / enhancement request,2023-11,2023-11-01,60,42.85825475865311
Missing feature / enhancement request,2023-12,2023-12-01,46,41.761699271925245
Missing feature / enhancement request,2024-01,2024-01-01,51,40.693199849128234
Missing feature / enhancement request,2024-02,2024-02-01,51,39.65203865816616
Missing feature / enhancement request,2024-03,2024-03-01,58,38.63751623313023
Missing feature / enhancement request,2024-04,2024-04-01,53,37.64895100438813
Missing feature / enhancement request,2024-05,2024-05-01,31,36.68567884069659
Missing feature / enhancement request,2024-06,2024-06-01,36,35.747052603029275
Missing feature / enhancement request,2024-07,2024-07-01,36,34.83244170982003
Missing feature / enhancement request,2024-08,2024-08-01,28,33.941231713329934
Missing feature / enhancement request,2024-09,2024-09-01,23,33.072823886853065
Missing feature / enhancement request,2024-10,2024-10-01,31,32.22663482248406
Missing feature / enhancement request,2024-11,2024-11-01,28,31.402096039176865
Missing feature / enhancement request,2024-12,2024-12-01,28,30.598653600831614
Missing feature / enhancement request,2025-01,2025-01-01,30,29.815767744153025
Missing feature / enhancement request,2025-02,2025-02-01,37,29.05291251603029
Missing feature / enhancement request,2025-03,2025-03-01,35,28.30957542019474
Missing feature / enhancement request,2025-04,2025-04-01,21,27.585257072918065
Missing feature / enhancement request,2025-05,2025-05-01,22,26.87947086751968
Missing feature / enhancement request,2025-06,2025-06-01,19,26.191742647457964
Missing feature / enhancement request,2025-07,2025-07-01,25,25.521610387785515
Missing feature / enhancement request,2025-08,2025-08-01,20,24.868623884754687
Missing feature / enhancement request,2025-09,2025-09-01,13,24.232344453364785
Missing feature / enhancement request,2025-10,2025-10-01,31,23.6123446326476
Missing feature / enhancement request,2025-11,2025-11-01,3,23.008207898493467
Integration failure/issues,2021-11,2021-11-01,40,58.454518086991776
Integration failure/issues,2021-12,2021-12-01,50,57.12898223344544
Integration failure/issues,2022-01,2022-01-01,41,55.83350471168488
Integration failure/issues,2022-02,2022-02-01,65,54.56740390807638
Integration failure/issues,2022-03,2022-03-01,46,53.330013665504225
Integration failure/issues,2022-04,2022-04-01,49,52.12068293287308
Integration failure/issues,2022-05,2022-05-01,53,50.93877542255835
Integration failure/issues,2022-06,2022-06-01,47,49.783669275624376
Integration failure/issues,2022-07,2022-07-01,51,48.65475673463435
Integration failure/issues,2022-08,2022-08-01,49,47.55144382387944
Integration failure/issues,2022-09,2022-09-01,39,46.47315003685952
Integration failure/issues,2022-10,2022-10-01,32,45.41930803085034
Integration failure/issues,2022-11,2022-11-01,46,44.389363328397025
Integration failure/issues,2022-12,2022-12-01,54,43.382774025576666
Integration failure/issues,2023-01,2023-01-01,45,42.39901050687615
Integration failure/issues,2023-02,2023-02-01,42,41.43755516653593
Integration failure/issues,2023-03,2023-03-01,60,40.497902136212325
Integration failure/issues,2023-04,2023-04-01,49,39.579557018815706
Integration failure/issues,2023-05,2023-05-01,41,38.68203662838421
Integration failure/issues,2023-06,2023-06-01,47,37.80486873585603
Integration failure/issues,2023-07,2023-07-01,40,36.94759182060691
Integration failure/issues,2023-08,2023-08-01,33,36.109754827621614
Integration failure/issues,2023-09,2023-09-01,36,35.290916930172024
Integration failure/issues,2023-10,2023-10-01,35,34.49064729787685
Integration failure/issues,2023-11,2023-11-01,50,33.708524870020725
Integration failure/issues,2023-12,2023-12-01,40,32.94413813401384
Integration failure/issues,2024-01,2024-01-01,38,32.19708490887509
Integration failure/issues,2024-02,2024-02-01,30,31.46697213362517
