model_set,tool,theme_col,theme_or_category,beta,p_value,n_obs,n_months,df_resid,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,total_count
aggregate_by_component_theme,ALL,Associated Component Theme,API,-0.025587992380328415,4.7022093941234675e-83,49,49,47.0,2.962525348310616,3.201083049395402,True,False,0.0,5.430283182418916e-16,0.7606451817300454,False,3074
aggregate_by_component_theme,ALL,Associated Component Theme,Authentication/Authorization tools,-0.02130729320437538,4.6757962168568754e-33,49,49,47.0,2.224354927944274,2.3573641729519967,True,False,0.0,1.9549235775477594e-10,0.42526500869089023,False,1667
aggregate_by_component_theme,ALL,Associated Component Theme,Build/CI,-0.026226762664633894,2.8750396996029115e-78,49,49,47.0,2.462774692678819,2.7343326824739207,True,False,0.0,2.4228088598768353e-14,0.8193867653380038,False,2764
aggregate_by_component_theme,ALL,Associated Component Theme,CLI tooling,-0.02489378495840195,8.41545487034717e-81,49,49,47.0,2.9592044066041643,3.273620454773598,True,False,0.0,1.3332940385856846e-16,0.6349297647743357,False,3145
aggregate_by_component_theme,ALL,Associated Component Theme,Documentation/Help,-0.024294677084987525,1.3102121506498182e-49,49,49,47.0,2.3594027317280792,2.574114674514496,True,False,0.0,2.4857559308948936e-11,0.6462217948143285,False,1991
aggregate_by_component_theme,ALL,Associated Component Theme,Key Management Core (secret engine),-0.021628407497160912,1.0529801567360841e-19,49,49,47.0,1.2555438987479473,1.2982548900652175,False,False,0.0,1.8462335271163056e-06,0.1740642320335924,False,932
aggregate_by_component_theme,ALL,Associated Component Theme,Notification/Logging,-0.025209783200321315,4.0811353166728845e-46,49,49,47.0,2.066222645924558,2.3394540683214715,True,False,0.0,7.90059428711577e-10,0.3765088632803004,False,1723
aggregate_by_component_theme,ALL,Associated Component Theme,Policy/configuration,-0.024334507199912307,1.640847138923393e-57,49,49,47.0,2.2482037902261145,2.4155991588546093,True,False,0.0,7.224264992509303e-13,0.8624624621974556,False,2313
aggregate_by_component_theme,ALL,Associated Component Theme,Signing workflow,-0.029909665177527807,2.2058248910851802e-38,49,49,47.0,1.4412561088468663,1.4613686923512232,False,False,0.0,5.756260631409886e-06,0.08693255961538451,False,1041
aggregate_by_component_theme,ALL,Associated Component Theme,Verification workflow,-0.029104034407831773,2.1563195510910226e-37,49,49,47.0,2.1289733840357083,1.9974172816813967,True,False,0.0,3.64383220703203e-06,0.6231258504053552,False,1064
aggregate_by_component_theme,ALL,Associated Component Theme,Web Client,-0.023912226416987897,1.5709578842106309e-53,49,49,47.0,2.2515121802101805,2.5235349555184032,True,False,0.0,1.531818999738827e-12,0.16215184546791303,False,2219
aggregate_by_l1_theme,ALL,L1_Theme,Authentication friction,-0.02124214019447564,5.132480426265188e-34,49,49,47.0,2.2961654113150325,2.4300476792296437,True,False,0.0,8.987379989621878e-11,0.6617815853593463,False,1728
aggregate_by_l1_theme,ALL,L1_Theme,Build/CI/installation/distribution release issues,-0.026314990953074407,1.2673051771539826e-72,49,49,47.0,2.4067224082128993,2.6169503674488044,True,False,0.0,2.554999936006829e-13,0.7110637049152034,False,2544
aggregate_by_l1_theme,ALL,L1_Theme,Configuration friction,-0.023091827804234518,8.986378543377517e-54,49,49,47.0,2.3444512168890475,2.5649287864999417,True,False,0.0,1.385417949325552e-13,0.7250323994249861,False,2380
aggregate_by_l1_theme,ALL,L1_Theme,Integration failure/issues,-0.022937425599307684,2.6023133462791052e-39,49,49,47.0,1.8530634421640075,1.9894658205605593,True,False,0.0,1.9728443027070212e-10,0.3429092872846995,False,1740
aggregate_by_l1_theme,ALL,L1_Theme,Missing feature / enhancement request,-0.025918635508878966,1.484485249194355e-62,49,49,47.0,2.198329481652359,2.4169310452637807,True,False,0.0,4.484710575313116e-12,0.5279015768147561,False,2244
aggregate_by_l1_theme,ALL,L1_Theme,Notification/Logging /Web UI Issues,-0.024716200645207968,2.328600951533466e-66,49,49,47.0,2.558376987718012,2.8570101817339126,True,False,0.0,3.966820502301117e-14,0.4928948458197404,False,2604
aggregate_by_l1_theme,ALL,L1_Theme,Performance issue,-0.02373202577494808,9.549920545089363e-26,49,49,47.0,1.6829223902442025,1.8270528488445323,True,False,0.0,8.990027023109483e-07,0.009192121869524408,True,1044
aggregate_by_l1_theme,ALL,L1_Theme,Security concerns,-0.0211500314568294,8.178560925920153e-18,49,49,47.0,1.3151265242296646,1.3679146939534226,False,False,0.0,3.4806908462852604e-06,0.5415015631881193,False,871
aggregate_by_l1_theme,ALL,L1_Theme,Tedious Workflows,-0.016554985624502146,3.110455907983546e-05,49,49,47.0,1.2590171221512807,1.3241059024047486,False,False,0.02040816326530612,0.00312816126633002,0.7198589388531147,False,327
aggregate_by_l1_theme,ALL,L1_Theme,Unexpected behavior,-0.02221874786320276,5.120654663687926e-31,49,49,47.0,1.7885101643107189,1.8616026958427978,True,False,0.0,4.7155689952741275e-09,0.19670478597706445,False,1440
aggregate_by_l1_theme,ALL,L1_Theme,User confusion / unclear documentation/documentation improvements,-0.025061037471526913,1.561435872117797e-61,49,49,47.0,2.740571746087393,2.9566275921924112,True,False,0.0,8.223761650116928e-13,0.8630629967378871,False,2348
overall_usability_by_tool,Keyfactor/ejbca-ce,(all),(all usability),-0.001101748450402489,0.8357930053989595,49,49,47.0,1.4331327683951927,1.4410869223519416,False,False,0.04081632653061224,0.027033940090128376,0.37778426952467714,False,177
overall_usability_by_tool,Keyfactor/signserver-ce,(all),(all usability),0.013355270482906788,0.3701409816072203,49,49,47.0,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,23
overall_usability_by_tool,hashicorp/vault,(all),(all usability),-0.022541481508468474,3.140978924697703e-39,49,49,47.0,1.9874082593906042,2.1638952993429763,True,False,0.0,8.449065204280361e-11,0.7752798061374007,False,1794
overall_usability_by_tool,notaryproject/notation,(all),(all usability),-0.028137974889266296,5.355464814589982e-10,49,49,47.0,5.105975824955016,4.780492441779129,True,False,0.12244897959183673,0.01737055808408988,8.699129558134981e-05,True,267
overall_usability_by_tool,openpubkey/openpubkey,(all),(all usability),0.036968294327722966,4.484612780382871e-07,49,49,47.0,8.573550003355226,6.105941423496317,True,False,0.6530612244897959,0.17470200022595392,5.3392236716123563e-05,True,109
overall_usability_by_tool,sigstore/cosign,(all),(all usability),-0.0348130620249599,2.425258223777205e-32,49,49,47.0,2.5215690349723885,2.107426862414274,True,False,0.0,0.0005717842091080933,0.19774436659452901,False,665
overall_usability_by_tool,sigstore/fulcio,(all),(all usability),-0.05126199145368272,7.808839625074542e-18,49,49,47.0,1.524402085778239,1.5435249698281446,True,False,0.12244897959183673,0.11288103601382976,0.1959000760008728,False,188
overall_usability_by_tool,sigstore/rekor,(all),(all usability),-0.054188941145296696,6.133032964341953e-23,49,49,47.0,0.952535119219,1.0709260406928818,False,False,0.10204081632653061,0.09237592910423852,0.9305068709516175,False,228
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,API,-0.0026007039253505507,0.6525139962244887,49,49,47.0,1.40716788348461,1.3968350316031133,False,False,0.04081632653061224,0.047127133366527976,0.20278250169458642,False,150
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Authentication/Authorization tools,0.010434814914068606,0.19826094171487207,49,49,47.0,1.0095414710808839,1.171205893858359,False,False,0.20408163265306123,0.21327892996724232,0.5320595864279427,False,77
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Build/CI,-0.0005681891615135181,0.9151065557546634,49,49,47.0,1.4670169810345506,1.479853160544544,False,False,0.04081632653061224,0.027559160076260122,0.33598425039787094,False,176
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,CLI tooling,0.0009459798338371129,0.8707200978924015,49,49,47.0,1.5162770647582655,1.4360559614884671,True,False,0.04081632653061224,0.04882112760486811,0.5999409868860647,False,148
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Documentation/Help,0.0021955455254134668,0.7306518776490318,49,49,47.0,1.421700020101969,1.3536130122743972,False,False,0.061224489795918366,0.08149838832871673,0.0686024866881306,False,123
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Notification/Logging,-0.00014851498230712606,0.9831595410795276,49,49,47.0,1.3506239080469855,1.3878129456873078,False,False,0.14285714285714285,0.127299192240948,0.7225838451068423,False,101
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Policy/configuration,0.0037757380521654263,0.5828090042992029,49,49,47.0,1.292241760896289,1.358561951531682,False,False,0.12244897959183673,0.11571525263238468,0.5233535462655281,False,106
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Signing workflow,0.017718778391379822,0.2098004135093543,49,49,47.0,1.1287114795823747,1.1245182872810446,False,False,0.6122448979591837,0.5933264411196758,0.38180104975143625,False,26
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Verification workflow,0.009121144063522721,0.5471594952050287,49,49,47.0,1.415012797550432,1.1548533236939056,False,False,0.673469387755102,0.639343375071743,0.12516216943423,False,22
