tool,theme_col,theme,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Keyfactor/ejbca-ce,L1_Theme Secondary,Functional Reliability,-0.0015324021041506074,0.00635089342012508,0.8093309671916556,0.998468771424438,0.986117115330324,1.0109751387652137,-0.15312285755619826,-1.388288466967602,1.0975138765213721,49,124,49,47.0,75.06578720036781,69.87515340375704,1.597144408518464,1.4867053915692987,True,False,0.061224489795918366,0.07972996997855605,0.49505760425878753,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Cognitive Friction,-0.0012651412995718662,0.005488738810040021,0.8177051031778387,0.9987356586542949,0.9880489189356386,1.0095379861779936,-0.12643413457050778,-1.195108106436138,0.9537986177993618,49,166,49,47.0,66.53534432008126,66.55921980220003,1.4156456238315163,1.4161536128127667,False,False,0.04081632653061224,0.03384649874301979,0.5140707030620767,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Operational Friction,0.00017857165652932324,0.005455456614594437,0.9738877716135592,1.0001785876013967,0.9895409568774204,1.0109305735591136,0.017858760139666252,-1.0459043122579614,1.0930573559113643,49,168,49,47.0,59.5050275194678,61.32324214283266,1.2660644153078255,1.3047498328262268,False,False,0.04081632653061224,0.03243445663935406,0.6659140746350087,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Functional Gap,0.0003174615982943118,0.008908761976889966,0.9715735911421882,1.0003175119945604,0.9830024053632078,1.0179376157612396,0.031751199456042656,-1.699759463679218,1.7937615761239645,49,63,49,47.0,69.96989570962056,72.33229134352284,1.4887211853110758,1.5389849222026135,False,False,0.32653061224489793,0.27645765225519475,0.9552090453395552,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Operational Friction,0.011192089595245659,0.015188885131418075,0.461207182958027,1.011254955344125,0.9815933843554502,1.0418128331004886,1.1254955344125017,-1.8406615644549817,4.181283310048856,49,22,49,47.0,65.24638804251845,56.188295265747065,1.3882210221812437,1.1954956439520652,False,False,0.6938775510204082,0.6398768440151422,0.7877881257011897,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Functional Gap,0.011730787844539558,0.02376485997905217,0.6215752373663341,1.0117998633754823,0.9657518732877045,1.060043466487448,1.1799863375482333,-3.424812671229549,6.004346648744807,49,9,49,47.0,68.47385818677596,36.84872536674193,1.4568905997186374,0.7840154333349347,False,False,0.8571428571428571,0.83259101485002,0.5778823125469821,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Cognitive Friction,0.013355270482906788,0.01490195455384627,0.3701409816072203,1.0134448504517588,0.9842724300489617,1.0434818994738042,1.3444850451758805,-1.57275699510383,4.348189947380421,49,23,49,47.0,73.3832862269118,59.979012994884364,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Functional Reliability,0.015458390145795904,0.017930943329876266,0.3886286892969222,1.0155784891062578,0.9805062502808789,1.0519052451117896,1.557848910625781,-1.94937497191211,5.190524511178962,49,16,49,47.0,72.59951479688891,51.01747755705816,1.5446705275933812,1.0854782458948544,True,False,0.7755102040816326,0.7232331625841065,0.9309584648287244,False,False
hashicorp/vault,L1_Theme Secondary,Functional Gap,-0.023258847890521964,0.0020070122056813525,4.697078106138706e-31,0.9770095541774245,0.9731737981680951,0.9808604287854983,-2.299044582257548,-2.6826201831904872,-1.9139571214501716,49,1323,49,47.0,83.37208384515073,87.34803070600547,1.773874124364909,1.8584687384256484,True,False,0.0,2.9261095009537257e-08,0.15369287815276197,False,True
hashicorp/vault,L1_Theme Secondary,Operational Friction,-0.02261311105494526,0.0017445663924267113,2.0087695386471674e-38,0.9776406489739163,0.9743034620513656,0.9809892664383771,-2.2359351026083663,-2.5696537948634357,-1.9010733561622861,49,1745,49,47.0,91.25491301633765,99.34341111914635,1.941593893964631,2.1136895982797097,True,False,0.0,1.5604063496791552e-10,0.913838741138495,False,True
hashicorp/vault,L1_Theme Secondary,Cognitive Friction,-0.022189071720845478,0.0017650403053814066,3.032091622471453e-36,0.9780552949705892,0.9746775791553896,0.9814447161582857,-2.1944705029410816,-2.532242084461045,-1.8555283841714343,49,1701,49,47.0,85.47892937048401,93.29379420699391,1.818700624903915,1.9849743448296577,True,False,0.0,2.0830890388184846e-10,0.811839125486735,False,True
hashicorp/vault,L1_Theme Secondary,Functional Reliability,-0.022178810440355756,0.002005868338563023,2.0285180969316518e-28,0.9780653311217972,0.974227614310296,0.9819181656225414,-2.1934668878202834,-2.577238568970397,-1.8081834377458583,49,1317,49,47.0,73.37927584218868,76.7760794063568,1.561261188131674,1.6335336043905702,True,False,0.0,2.0221705968752746e-08,0.46658865549647555,False,True
notaryproject/notation,L1_Theme Secondary,Cognitive Friction,-0.027340856343500346,0.005276585752829248,2.2005776001813924e-07,0.9730295217082593,0.9630182035347101,0.9831449152681347,-2.6970478291740707,-3.6981796465289873,-1.6855084731865255,49,196,49,47.0,174.8408949527215,176.87981429549308,3.720019041547266,3.7634003041594273,True,False,0.1836734693877551,0.04177897154373254,0.0019591068795601213,True,True
