category,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Verification workflow,-0.03375331035797041,0.0038240381659171924,1.0789197939658965e-18,0.9668099772291314,0.9595907138550827,0.9740835530959038,-3.3190022770868577,-4.040928614491735,-2.5916446904096224,49,390,49,47.0,78.5417667593336,74.7745635776579,1.6711014204113532,1.5909481612267637,True,False,0.0,0.0068233276782373705,0.06844608838611713,False,True
Core,-0.03116065711049605,0.002195618407353737,1.0239423299868079e-45,0.9693198324425141,0.9651574124956487,0.9735002035956696,-3.0680167557485927,-3.484258750435132,-2.6499796404330422,49,1161,49,47.0,89.36631226960094,101.70073580037972,1.9014108993532115,2.1638454425612705,True,False,0.02040816326530612,2.5967335834378953e-06,0.8747046337176052,False,True
CLI tooling,-0.030783650192767947,0.002242546109589403,6.9876752166757084e-43,0.969685341620251,0.9654325491913682,0.9739568678731158,-3.0314658379749004,-3.456745080863177,-2.604313212688425,49,1110,49,47.0,135.6650304678084,132.3877790129632,2.8864900099533704,2.8167612555949617,True,False,0.0,3.7723342956100232e-06,0.17303368538782013,False,True
API,-0.03057401382326512,0.0029194404575099164,1.1547775306089538e-25,0.9698886442438958,0.9643546892658318,0.9754543558547009,-3.011135575610424,-3.564531073416821,-2.454564414529914,49,654,49,47.0,100.4752953211944,102.26628889411671,2.1377722408764765,2.175878487108866,True,False,0.0,0.0003173382469777586,0.05678171691980603,False,True
Policy/configuration,-0.028936378965399617,0.002551267967857079,8.130294761677552e-30,0.9714782689531138,0.9666325318462023,0.9763482977813731,-2.8521731046886156,-3.3367468153797653,-2.365170221862689,49,847,49,47.0,54.10813392120373,55.249505762709866,1.151236891940505,1.175521399206593,False,False,0.0,3.1860110783505026e-05,0.9130700811766974,False,True
Signing workflow,-0.02530652803119224,0.0036393328595216387,3.560365780577461e-12,0.9750109980162986,0.968080900369501,0.9819907054151075,-2.4989001983701353,-3.1919099630498993,-1.8009294584892532,49,407,49,47.0,88.52478460115573,80.95838204920827,1.8835060553437388,1.7225187670044313,True,False,0.0,0.002409013537320435,0.8164351340833953,False,True
Authentication/Authorization tools,-0.0245960061094668,0.003293297152155783,8.111106067386376e-14,0.9757040108755718,0.9694262585352798,0.9820224163074208,-2.429598912442821,-3.057374146472025,-1.797758369257918,49,495,49,47.0,85.89099657245347,93.08139802284502,1.8274680121798612,1.980455277081809,True,False,0.02040816326530612,0.000745587130836188,0.3590125194365372,False,True
Key Management Core / Secrets Backend,-0.0241039264999832,0.0030837531604162196,5.434450430023054e-15,0.976184253073221,0.9703018379988075,0.9821023300476253,-2.3815746926779013,-2.9698162001192463,-1.789766995237474,49,563,49,47.0,71.78871442758798,75.59439088829785,1.5274194559061272,1.608391295495699,True,False,0.0,0.00030098966532301146,0.9239026857298918,False,True
Build/CI/Installation,-0.022127836912815516,0.003947288816642592,2.0725724231826202e-08,0.9781151878325647,0.9705770155106179,0.9857119068139184,-2.188481216743532,-2.9422984489382076,-1.4288093186081596,49,340,49,47.0,57.132347726918375,63.33872668565231,1.2155818665301783,1.3476324826734534,False,False,0.02040816326530612,0.004211099071779434,0.22412397456461947,False,True
Notification/Logging,-0.02211409659280521,0.004566737341088016,1.2826214294990686e-06,0.9781286275405852,0.9694126544261582,0.986922965824875,-2.187137245941484,-3.0587345573841795,-1.3077034175124957,49,254,49,47.0,73.19221747582137,73.90999007079482,1.5572812228898163,1.572552980229677,True,False,0.02040816326530612,0.014142453388865371,0.21709937756718867,False,True
Release pipeline,-0.019075643198718035,0.006679771904753601,0.004293764255377957,0.981105145504361,0.968343890385728,0.9940345739690745,-1.889485449563899,-3.165610961427201,-0.5965426030925536,49,117,49,47.0,43.11403825066497,52.42931487834434,0.9173199627801057,1.1155173378371137,False,False,0.12244897959183673,0.11047386305362825,0.36850259809457797,False,True
Web Client,-0.016133390958306862,0.0037234026779941155,1.471113679333297e-05,0.9839960551239391,0.9768411202172582,0.9912033968063579,-1.6003944876060938,-2.315887978274178,-0.8796603193642061,49,372,49,47.0,61.48491574909843,69.11562493518925,1.3081896967893283,1.4705452113870052,False,False,0.02040816326530612,0.001480610585085785,0.20697583085543378,False,True
