category,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Missing feature / enhancement request,-0.032646756897181835,0.001954343668176058,1.2110221667505135e-62,0.9678803962840903,0.9641800089894982,0.9715949851447825,-3.2119603715909717,-3.5819991010501817,-2.8405014855217514,49,1481,49,47.0,81.27971945292913,93.34128578372454,1.7293557330410454,1.9859848039090329,True,False,0.02040816326530612,2.2861174867872784e-07,0.30391702315750085,False,True
Security concerns,-0.03255225778557109,0.004774227458107447,9.21049500306266e-12,0.9679718644434464,0.9589563286093268,0.9770721589719419,-3.2028135556553594,-4.104367139067322,-2.2927841028058116,49,248,49,47.0,57.32507105062461,57.91881966987888,1.219682362779247,1.2323153121250825,False,False,0.04081632653061224,0.028408163370765745,0.3517491996763704,False,True
Authentication friction,-0.03036092020544877,0.005288637015658434,9.423950057317207e-09,0.9700953433463243,0.960091536297281,0.9802033864517132,-2.99046566536757,-3.9908463702719055,-1.9796613548286768,49,199,49,47.0,82.46050941949792,82.15515890199387,1.7544789238191048,1.747982104297742,True,False,0.08163265306122448,0.04580079423200409,0.14503248360722779,False,True
Tedious Workflows,-0.028394933029252587,0.0037013547311880225,1.6999998552722197e-14,0.9720044143406807,0.9649783739561709,0.9790816115643666,-2.7995585659319255,-3.502162604382908,-2.091838843563343,49,401,49,47.0,62.85844400727504,62.25643239159438,1.3374137022824477,1.324604944502008,False,False,0.02040816326530612,0.003591271384370507,0.4417713046414318,False,True
User confusion / unclear documentation,-0.026959963261220864,0.0023545760774334413,2.350681363770619e-30,0.9734002125142319,0.9689183503822729,0.9779028061022129,-2.659978748576808,-3.108164961772708,-2.209719389778708,49,982,49,47.0,110.79826612071177,114.21965827844284,2.3574099174619527,2.430205495286018,True,False,0.0,4.666679433928907e-06,0.9811635031063992,False,True
Integration failure/issues,-0.021831949289847257,0.0028331377492063128,1.2989808695161043e-14,0.9784046428314456,0.9729866675762026,0.9838527875194719,-2.159535716855443,-2.7013332423797443,-1.6147212480528084,49,659,49,47.0,61.152455973034655,69.19089639811654,1.3011160845326522,1.4721467318748198,False,False,0.02040816326530612,6.048592906141055e-05,0.5075411041497544,False,True
Unexpected behavior,-0.021822519027469896,0.0027313470465664506,1.3531752375242945e-15,0.9784138694874436,0.9731899846888121,0.9836657950312724,-2.1586130512556423,-2.6810015311187874,-1.6334204968727617,49,709,49,47.0,95.19936148094544,95.22710496782848,2.0255183293818178,2.026108616336776,True,False,0.0,3.194275243835186e-05,0.33727674823748105,False,True
Performance issue,-0.021795294812360182,0.007383872587835433,0.0031598572529296133,0.9784405063996756,0.9643821082223463,0.9927038425965176,-2.1559493600324386,-3.561789177765373,-0.729615740348244,49,97,49,47.0,77.93777966575149,79.41791636483855,1.658250631186202,1.6897429013795435,True,False,0.20408163265306123,0.16288310928462085,0.45488688207067707,False,True
Notification/Logging /Web UI Issues,-0.021666061273024395,0.0032128711061845446,1.5459444898768134e-11,0.9785669619003171,0.9724240651547894,0.9847486639179256,-2.143303809968289,-2.7575934845210592,-1.5251336082074407,49,512,49,47.0,96.87679010723087,100.09224121217254,2.0612083001538486,2.1296221534504793,True,False,0.02040816326530612,0.0003953030950700503,0.7217961007675014,False,True
Build/CI/installation/distribution release issues,-0.019327097197871915,0.00438344683126631,1.0379652250108148e-05,0.9808584737065382,0.9724674709076102,0.9893218788531827,-1.9141526293461775,-2.753252909238979,-1.067812114681732,49,272,49,47.0,67.2884329379689,71.40389391344642,1.431668785914232,1.519231785392477,False,False,0.02040816326530612,0.009053426275360144,0.44357910596057626,False,True
Configuration friction,-0.019292471377233746,0.0037889212179114174,3.546592276561952e-07,0.9808924373241259,0.9736350310935968,0.9882039397442053,-1.9107562675874101,-2.6364968906403163,-1.1796060255794716,49,364,49,47.0,44.741028964324656,46.492017908784845,0.9519367864749927,0.9891918703996776,False,False,0.0,0.0022916459566256924,0.8523145180190072,False,True
