month,month_start,hashicorp/vault,sigstore/cosign,notaryproject/notation,sigstore/rekor,sigstore/fulcio,Keyfactor/ejbca-ce,openpubkey/openpubkey,Keyfactor/signserver-ce
2021-11,2021-11-01,27,26,4,6,6,0,0,0
2021-12,2021-12-01,40,34,2,4,11,5,0,0
2022-01,2022-01-01,33,31,1,11,6,2,0,0
2022-02,2022-02-01,58,34,0,8,14,0,0,0
2022-03,2022-03-01,42,42,1,6,4,2,0,0
2022-04,2022-04-01,44,18,4,7,7,3,0,0
2022-05,2022-05-01,42,26,1,11,5,1,0,0
2022-06,2022-06-01,29,21,13,10,4,3,0,1
2022-07,2022-07-01,43,17,22,6,5,1,0,0
2022-08,2022-08-01,30,20,17,5,7,5,0,0
2022-09,2022-09-01,48,17,5,12,2,5,0,0
2022-10,2022-10-01,21,18,7,7,2,3,0,1
2022-11,2022-11-01,41,30,10,9,4,6,0,0
2022-12,2022-12-01,48,19,10,2,2,3,0,1
2023-01,2023-01-01,42,23,7,5,6,5,0,0
2023-02,2023-02-01,36,14,11,2,1,3,0,2
2023-03,2023-03-01,44,28,12,5,4,4,0,0
2023-04,2023-04-01,33,19,25,6,3,1,0,1
2023-05,2023-05-01,30,17,12,3,5,1,0,0
2023-06,2023-06-01,33,13,11,3,1,6,0,0
2023-07,2023-07-01,37,12,2,6,5,5,0,1
2023-08,2023-08-01,36,10,2,5,3,2,0,0
2023-09,2023-09-01,27,8,7,2,3,3,10,0
2023-10,2023-10-01,19,9,2,3,2,3,5,0
2023-11,2023-11-01,44,17,7,5,0,7,5,3
2023-12,2023-12-01,30,14,1,3,1,7,2,1
2024-01,2024-01-01,39,8,3,2,1,2,5,0
2024-02,2024-02-01,25,9,5,1,2,4,5,0
2024-03,2024-03-01,32,17,5,3,2,2,10,0
2024-04,2024-04-01,35,10,2,4,1,4,13,0
2024-05,2024-05-01,27,4,1,0,2,0,1,1
2024-06,2024-06-01,21,7,6,3,2,2,0,1
2024-07,2024-07-01,35,12,3,1,1,2,0,1
2024-08,2024-08-01,17,7,2,3,4,2,1,0
2024-09,2024-09-01,11,7,3,1,4,2,1,0
2024-10,2024-10-01,19,4,2,3,2,2,0,2
2024-11,2024-11-01,14,12,1,2,2,1,0,4
2024-12,2024-12-01,14,8,3,3,1,4,0,0
2025-01,2025-01-01,21,5,3,2,1,2,2,1
2025-02,2025-02-01,20,2,2,1,2,4,20,0
2025-03,2025-03-01,14,7,7,0,0,5,11,0
2025-04,2025-04-01,13,6,2,2,2,2,3,0
2025-05,2025-05-01,18,5,0,0,1,2,0,0
2025-06,2025-06-01,15,4,2,0,1,4,1,1
2025-07,2025-07-01,17,10,0,1,1,5,0,0
2025-08,2025-08-01,11,9,0,1,0,4,0,0
2025-09,2025-09-01,8,6,0,0,0,3,0,0
2025-10,2025-10-01,17,19,2,1,3,2,1,0
2025-11,2025-11-01,1,1,0,0,0,0,0,0
