category,month,month_start,count,expected_count
CLI tooling,2021-11,2021-11-01,34,43.21011160494617
CLI tooling,2021-12,2021-12-01,29,41.90021183309139
CLI tooling,2022-01,2022-01-01,38,40.63002122533212
CLI tooling,2022-02,2022-02-01,38,39.39833601192422
CLI tooling,2022-03,2022-03-01,31,38.203988914992166
CLI tooling,2022-04,2022-04-01,28,37.04584804229046
CLI tooling,2022-05,2022-05-01,28,35.92281581450034
CLI tooling,2022-06,2022-06-01,37,34.833827925045114
CLI tooling,2022-07,2022-07-01,42,33.7778523314384
CLI tooling,2022-08,2022-08-01,34,32.75388827720925
CLI tooling,2022-09,2022-09-01,37,31.760965343477178
CLI tooling,2022-10,2022-10-01,25,30.798142529278614
CLI tooling,2022-11,2022-11-01,41,29.86450735977271
CLI tooling,2022-12,2022-12-01,38,28.95917502148171
CLI tooling,2023-01,2023-01-01,31,28.081287523746123
CLI tooling,2023-02,2023-02-01,29,27.23001288560025
CLI tooling,2023-03,2023-03-01,48,26.404544347297122
CLI tooling,2023-04,2023-04-01,50,25.604099605735872
CLI tooling,2023-05,2023-05-01,31,24.827920073066917
CLI tooling,2023-06,2023-06-01,25,24.075270157772177
CLI tooling,2023-07,2023-07-01,22,23.345436567539156
CLI tooling,2023-08,2023-08-01,17,22.637727633268103
CLI tooling,2023-09,2023-09-01,23,21.95147265357177
CLI tooling,2023-10,2023-10-01,12,21.286021259146345
CLI tooling,2023-11,2023-11-01,23,20.640742796411246
CLI tooling,2023-12,2023-12-01,19,20.015025729833773
CLI tooling,2024-01,2024-01-01,15,19.40827706237198
CLI tooling,2024-02,2024-02-01,15,18.81992177348665
CLI tooling,2024-03,2024-03-01,30,18.2494022741898
CLI tooling,2024-04,2024-04-01,12,17.69617787861312
CLI tooling,2024-05,2024-05-01,9,17.159724291595698
CLI tooling,2024-06,2024-06-01,18,16.63953311180529
CLI tooling,2024-07,2024-07-01,20,16.135111349922386
CLI tooling,2024-08,2024-08-01,9,15.645980961430284
CLI tooling,2024-09,2024-09-01,10,15.171678393568465
CLI tooling,2024-10,2024-10-01,8,14.711754146020017
CLI tooling,2024-11,2024-11-01,10,14.265772344916561
CLI tooling,2024-12,2024-12-01,12,13.833310329757149
CLI tooling,2025-01,2025-01-01,14,13.413958252849504
CLI tooling,2025-02,2025-02-01,24,13.007318690894156
CLI tooling,2025-03,2025-03-01,16,12.613006268343177
CLI tooling,2025-04,2025-04-01,10,12.23064729217672
CLI tooling,2025-05,2025-05-01,5,11.859879397751179
CLI tooling,2025-06,2025-06-01,14,11.500351205383327
CLI tooling,2025-07,2025-07-01,13,11.151721987344999
CLI tooling,2025-08,2025-08-01,10,10.813661344952697
CLI tooling,2025-09,2025-09-01,4,10.485848895446159
CLI tooling,2025-10,2025-10-01,21,10.167973968359043
CLI tooling,2025-11,2025-11-01,1,9.859735311094056
Policy/configuration,2021-11,2021-11-01,19,31.880109439562847
Policy/configuration,2021-12,2021-12-01,30,30.970833532382336
Policy/configuration,2022-01,2022-01-01,26,30.08749174807385
Policy/configuration,2022-02,2022-02-01,35,29.229344400559878
Policy/configuration,2022-03,2022-03-01,30,28.39567290089031
Policy/configuration,2022-04,2022-04-01,27,27.58577915551576
Policy/configuration,2022-05,2022-05-01,33,26.798984981723336
Policy/configuration,2022-06,2022-06-01,24,26.03463153974509
Policy/configuration,2022-07,2022-07-01,24,25.292078781063697
Policy/configuration,2022-08,2022-08-01,23,24.57070491245355
Policy/configuration,2022-09,2022-09-01,28,23.86990587530814
Policy/configuration,2022-10,2022-10-01,15,23.18909483981812
Policy/configuration,2022-11,2022-11-01,24,22.52770171357609
Policy/configuration,2022-12,2022-12-01,24,21.885172664196993
Policy/configuration,2023-01,2023-01-01,20,21.26096965555411
Policy/configuration,2023-02,2023-02-01,19,20.654569997242383
Policy/configuration,2023-03,2023-03-01,34,20.06546590689196
Policy/configuration,2023-04,2023-04-01,27,19.49316408496512
Policy/configuration,2023-05,2023-05-01,15,18.93718530168092
Policy/configuration,2023-06,2023-06-01,13,18.397063995721336
Policy/configuration,2023-07,2023-07-01,22,17.872347884383018
Policy/configuration,2023-08,2023-08-01,21,17.362597584848267
Policy/configuration,2023-09,2023-09-01,15,16.867386246257905
Policy/configuration,2023-10,2023-10-01,12,16.386299192278194
Policy/configuration,2023-11,2023-11-01,24,15.918933573862226
Policy/configuration,2023-12,2023-12-01,15,15.46489803191528
Policy/configuration,2024-01,2024-01-01,21,15.023812369581478
Policy/configuration,2024-02,2024-02-01,18,14.59530723387739
Policy/configuration,2024-03,2024-03-01,16,14.179023806406072
Policy/configuration,2024-04,2024-04-01,15,13.77461350289236
Policy/configuration,2024-05,2024-05-01,9,13.381737681288056
Policy/configuration,2024-06,2024-06-01,11,13.00006735820238
Policy/configuration,2024-07,2024-07-01,8,12.629282933420326
