category,month,month_start,count,expected_count
Missing feature / enhancement request,2021-11,2021-11-01,42,59.607372174809754
Missing feature / enhancement request,2021-12,2021-12-01,52,57.69280700200811
Missing feature / enhancement request,2022-01,2022-01-01,47,55.83973690384514
Missing feature / enhancement request,2022-02,2022-02-01,54,54.046186682892994
Missing feature / enhancement request,2022-03,2022-03-01,53,52.31024458428239
Missing feature / enhancement request,2022-04,2022-04-01,45,50.63006025795294
Missing feature / enhancement request,2022-05,2022-05-01,48,49.00384278635486
Missing feature / enhancement request,2022-06,2022-06-01,45,47.42985877550041
Missing feature / enhancement request,2022-07,2022-07-01,57,45.90643050732977
Missing feature / enhancement request,2022-08,2022-08-01,43,44.43193415142238
Missing feature / enhancement request,2022-09,2022-09-01,42,43.00479803414731
Missing feature / enhancement request,2022-10,2022-10-01,32,41.623500963407764
Missing feature / enhancement request,2022-11,2022-11-01,50,40.28657060719432
Missing feature / enhancement request,2022-12,2022-12-01,44,38.99258192421823
Missing feature / enhancement request,2023-01,2023-01-01,42,37.740155644952196
Missing feature / enhancement request,2023-02,2023-02-01,39,36.527956801459574
Missing feature / enhancement request,2023-03,2023-03-01,46,35.35469330444483
Missing feature / enhancement request,2023-04,2023-04-01,43,34.219114566008535
Missing feature / enhancement request,2023-05,2023-05-01,37,33.12001016663902
Missing feature / enhancement request,2023-06,2023-06-01,24,32.05620856501969
Missing feature / enhancement request,2023-07,2023-07-01,31,31.026575849276696
Missing feature / enhancement request,2023-08,2023-08-01,33,30.030014528336324
Missing feature / enhancement request,2023-09,2023-09-01,33,29.065462362103148
Missing feature / enhancement request,2023-10,2023-10-01,23,28.1318912292127
Missing feature / enhancement request,2023-11,2023-11-01,38,27.22830603115132
Missing feature / enhancement request,2023-12,2023-12-01,29,26.353743631575224
Missing feature / enhancement request,2024-01,2024-01-01,35,25.507271829698343
Missing feature / enhancement request,2024-02,2024-02-01,28,24.687988366654455
Missing feature / enhancement request,2024-03,2024-03-01,33,23.89501996377452
Missing feature / enhancement request,2024-04,2024-04-01,32,23.12752139175433
Missing feature / enhancement request,2024-05,2024-05-01,18,22.384674569719962
Missing feature / enhancement request,2024-06,2024-06-01,18,21.665687693230954
Missing feature / enhancement request,2024-07,2024-07-01,18,20.969794390291717
Missing feature / enhancement request,2024-08,2024-08-01,13,20.29625290447144
Missing feature / enhancement request,2024-09,2024-09-01,14,19.644345304261932
Missing feature / enhancement request,2024-10,2024-10-01,21,19.013376717830553
Missing feature / enhancement request,2024-11,2024-11-01,18,18.40267459235253
Missing feature / enhancement request,2024-12,2024-12-01,13,17.811587977133325
Missing feature / enhancement request,2025-01,2025-01-01,15,17.239486829756746
Missing feature / enhancement request,2025-02,2025-02-01,28,16.68576134451931
Missing feature / enhancement request,2025-03,2025-03-01,22,16.149821302435104
Missing feature / enhancement request,2025-04,2025-04-01,13,15.631095442118136
Missing feature / enhancement request,2025-05,2025-05-01,8,15.129030850871738
Missing feature / enhancement request,2025-06,2025-06-01,14,14.643092375335963
Missing feature / enhancement request,2025-07,2025-07-01,13,14.172762051064717
Missing feature / enhancement request,2025-08,2025-08-01,12,13.717538550424633
Missing feature / enhancement request,2025-09,2025-09-01,6,13.276936648227284
Missing feature / enhancement request,2025-10,2025-10-01,17,12.850486704524982
Missing feature / enhancement request,2025-11,2025-11-01,0,12.437734164019073
User confusion / unclear documentation,2021-11,2021-11-01,16,35.62883464599768
User confusion / unclear documentation,2021-12,2021-12-01,33,34.68111521604857
User confusion / unclear documentation,2022-01,2022-01-01,21,33.758604921532225
User confusion / unclear documentation,2022-02,2022-02-01,39,32.86063320480347
User confusion / unclear documentation,2022-03,2022-03-01,33,31.986547344907926
User confusion / unclear documentation,2022-04,2022-04-01,16,31.13571198312992
User confusion / unclear documentation,2022-05,2022-05-01,34,30.307508661160572
User confusion / unclear documentation,2022-06,2022-06-01,31,29.501335371550628
User confusion / unclear documentation,2022-07,2022-07-01,24,28.71660612012101
User confusion / unclear documentation,2022-08,2022-08-01,30,27.952750500013288
User confusion / unclear documentation,2022-09,2022-09-01,33,27.209213277070226
User confusion / unclear documentation,2022-10,2022-10-01,24,26.485453986245222
User confusion / unclear documentation,2022-11,2022-11-01,44,25.780946538747013
User confusion / unclear documentation,2022-12,2022-12-01,25,25.095178839634386
User confusion / unclear documentation,2023-01,2023-01-01,22,24.42765241558277
User confusion / unclear documentation,2023-02,2023-02-01,21,23.777882052552062
User confusion / unclear documentation,2023-03,2023-03-01,44,23.14539544309252
User confusion / unclear documentation,2023-04,2023-04-01,34,22.529732843032185
User confusion / unclear documentation,2023-05,2023-05-01,23,21.930446737296403
User confusion / unclear documentation,2023-06,2023-06-01,22,21.347101514616366
User confusion / unclear documentation,2023-07,2023-07-01,28,20.779273150890454
User confusion / unclear documentation,2023-08,2023-08-01,20,20.226548900968034
User confusion / unclear documentation,2023-09,2023-09-01,20,19.68852699863179
User confusion / unclear documentation,2023-10,2023-10-01,11,19.16481636456038
User confusion / unclear documentation,2023-11,2023-11-01,29,18.655036322059296
User confusion / unclear documentation,2023-12,2023-12-01,23,18.158816320353235
User confusion / unclear documentation,2024-01,2024-01-01,14,17.675795665238745
User confusion / unclear documentation,2024-02,2024-02-01,13,17.205623256901536
