category,chi2,dof,p_value,cramers_v,n_assignments,n_tools_with_data,test_status,min_expected,cells_expected_lt5,theme_family
Signing workflow,540.0501189742147,7,1.952383825252419e-112,0.30721548787439285,5722,8,ok,2.8451590353023417,1,Affected-component themes
Verification workflow,536.2190047684321,7,1.302507405436121e-111,0.3061238554643883,5722,8,ok,2.726319468717232,1,Affected-component themes
API,413.6172458005634,7,2.8625814530779215e-85,0.26885950360918853,5722,8,ok,4.5718280321565885,1,Affected-component themes
Web Client,410.5330200882832,7,1.313415481323694e-84,0.26785522367,5722,8,ok,2.600489339391821,1,Affected-component themes
CLI tooling,381.93463739799427,7,1.7801698391571864e-78,0.25835721614775137,5722,8,ok,7.75952464173366,0,Affected-component themes
Key Management Core / Secrets Backend,285.66798765066517,7,6.935882766398197e-58,0.22343791031108565,5722,8,ok,3.9356868227892345,1,Affected-component themes
Authentication/Authorization tools,205.96781636627102,7,6.245563479501107e-41,0.18972552166163156,5722,8,ok,3.4603285564487942,1,Affected-component themes
Core,138.69778139763645,7,9.525584873259012e-27,0.15569004004757933,5722,8,ok,1.2093673540720027,2,Affected-component themes
Policy/configuration,119.34753880356317,7,1.0475139473309923e-22,0.1444218177688856,5722,8,ok,5.921006641034603,0,Affected-component themes
Build/CI/Installation,106.73501621475842,7,4.363501721013353e-20,0.1365776178072628,5722,8,ok,2.376791331702202,1,Affected-component themes
Notification/Logging,40.96971747280555,7,8.205046382038337e-07,0.08461698713113648,5722,8,ok,1.775602936036351,1,Affected-component themes
Release pipeline,3.0408996416723517,7,0.881193064905841,0.023052982308189633,5722,8,ok,0.8178958406151695,4,Affected-component themes
