tool,count_in_category,total_assignments_in_family,share_pct,rank_within_category,theme_family,category
Keyfactor/ejbca-ce,45,306,14.705882352941178,1,Primary themes (inductively generated),Configuration friction
Keyfactor/signserver-ce,5,43,11.627906976744185,2,Primary themes (inductively generated),Configuration friction
hashicorp/vault,212,2941,7.208432505950357,3,Primary themes (inductively generated),Configuration friction
sigstore/cosign,62,1407,4.4065387348969445,4,Primary themes (inductively generated),Configuration friction
notaryproject/notation,20,475,4.2105263157894735,5,Primary themes (inductively generated),Configuration friction
sigstore/fulcio,11,280,3.9285714285714284,6,Primary themes (inductively generated),Configuration friction
sigstore/rekor,7,322,2.1739130434782608,7,Primary themes (inductively generated),Configuration friction
openpubkey/openpubkey,2,150,1.3333333333333335,8,Primary themes (inductively generated),Configuration friction
Keyfactor/signserver-ce,4,43,9.30232558139535,1,Primary themes (inductively generated),Authentication friction
hashicorp/vault,130,2941,4.420265215912955,2,Primary themes (inductively generated),Authentication friction
Keyfactor/ejbca-ce,12,306,3.9215686274509802,3,Primary themes (inductively generated),Authentication friction
openpubkey/openpubkey,5,150,3.3333333333333335,4,Primary themes (inductively generated),Authentication friction
sigstore/cosign,36,1407,2.55863539445629,5,Primary themes (inductively generated),Authentication friction
sigstore/fulcio,5,280,1.7857142857142856,6,Primary themes (inductively generated),Authentication friction
notaryproject/notation,7,475,1.4736842105263157,7,Primary themes (inductively generated),Authentication friction
sigstore/rekor,0,322,0.0,8,Primary themes (inductively generated),Authentication friction
Keyfactor/ejbca-ce,38,306,12.418300653594772,1,Primary themes (inductively generated),Build/CI/installation/distribution release issues
Keyfactor/signserver-ce,5,43,11.627906976744185,2,Primary themes (inductively generated),Build/CI/installation/distribution release issues
openpubkey/openpubkey,8,150,5.333333333333334,3,Primary themes (inductively generated),Build/CI/installation/distribution release issues
notaryproject/notation,24,475,5.052631578947368,4,Primary themes (inductively generated),Build/CI/installation/distribution release issues
sigstore/cosign,66,1407,4.690831556503198,5,Primary themes (inductively generated),Build/CI/installation/distribution release issues
sigstore/rekor,14,322,4.3478260869565215,6,Primary themes (inductively generated),Build/CI/installation/distribution release issues
sigstore/fulcio,12,280,4.285714285714286,7,Primary themes (inductively generated),Build/CI/installation/distribution release issues
hashicorp/vault,105,2941,3.570214212852771,8,Primary themes (inductively generated),Build/CI/installation/distribution release issues
sigstore/cosign,195,1407,13.859275053304904,1,Primary themes (inductively generated),Integration failure/issues
sigstore/fulcio,38,280,13.571428571428571,2,Primary themes (inductively generated),Integration failure/issues
hashicorp/vault,311,2941,10.574634478068685,3,Primary themes (inductively generated),Integration failure/issues
Keyfactor/ejbca-ce,32,306,10.457516339869281,4,Primary themes (inductively generated),Integration failure/issues
