repo,L1_Theme Secondary,count
Keyfactor/ejbca-ce,Cognitive Friction,89
Keyfactor/ejbca-ce,Functional Gap,34
Keyfactor/ejbca-ce,Functional Reliability,45
Keyfactor/ejbca-ce,Operational Friction,91
Keyfactor/signserver-ce,Cognitive Friction,13
Keyfactor/signserver-ce,Functional Gap,6
Keyfactor/signserver-ce,Functional Reliability,5
Keyfactor/signserver-ce,Operational Friction,13
hashicorp/vault,Cognitive Friction,570
hashicorp/vault,Functional Gap,597
hashicorp/vault,Functional Reliability,490
hashicorp/vault,Operational Friction,860
notaryproject/notation,Cognitive Friction,89
notaryproject/notation,Functional Gap,176
notaryproject/notation,Functional Reliability,32
notaryproject/notation,Operational Friction,133
openpubkey/openpubkey,Cognitive Friction,21
openpubkey/openpubkey,Functional Gap,70
openpubkey/openpubkey,Functional Reliability,15
openpubkey/openpubkey,Operational Friction,37
sigstore/cosign,Cognitive Friction,301
sigstore/cosign,Functional Gap,439
sigstore/cosign,Functional Reliability,149
sigstore/cosign,Operational Friction,379
sigstore/fulcio,Cognitive Friction,36
sigstore/fulcio,Functional Gap,109
sigstore/fulcio,Functional Reliability,23
sigstore/fulcio,Operational Friction,74
sigstore/rekor,Cognitive Friction,63
sigstore/rekor,Functional Gap,118
sigstore/rekor,Functional Reliability,44
sigstore/rekor,Operational Friction,78
