category,chi2,dof,p_value,cramers_v,n_assignments,n_tools_with_data,test_status,min_expected,cells_expected_lt5,theme_family
Signing workflow,540.0501189742147,7,1.952383825252419e-112,0.30721548787439285,5722,8,ok,2.8451590353023417,1,Affected-component themes
Verification workflow,536.2190047684321,7,1.302507405436121e-111,0.3061238554643883,5722,8,ok,2.726319468717232,1,Affected-component themes
API,413.6172458005634,7,2.8625814530779215e-85,0.26885950360918853,5722,8,ok,4.5718280321565885,1,Affected-component themes
Web Client,410.5330200882832,7,1.313415481323694e-84,0.26785522367,5722,8,ok,2.600489339391821,1,Affected-component themes
CLI tooling,381.93463739799427,7,1.7801698391571864e-78,0.25835721614775137,5722,8,ok,7.75952464173366,0,Affected-component themes
Key Management Core / Secrets Backend,285.66798765066517,7,6.935882766398197e-58,0.22343791031108565,5722,8,ok,3.9356868227892345,1,Affected-component themes
Authentication/Authorization tools,205.96781636627102,7,6.245563479501107e-41,0.18972552166163156,5722,8,ok,3.4603285564487942,1,Affected-component themes
Core,138.69778139763645,7,9.525584873259012e-27,0.15569004004757933,5722,8,ok,1.2093673540720027,2,Affected-component themes
Policy/configuration,119.34753880356317,7,1.0475139473309923e-22,0.1444218177688856,5722,8,ok,5.921006641034603,0,Affected-component themes
Build/CI/Installation,106.73501621475842,7,4.363501721013353e-20,0.1365776178072628,5722,8,ok,2.376791331702202,1,Affected-component themes
Notification/Logging,40.96971747280555,7,8.205046382038337e-07,0.08461698713113648,5722,8,ok,1.775602936036351,1,Affected-component themes
Release pipeline,3.0408996416723517,7,0.881193064905841,0.023052982308189633,5722,8,ok,0.8178958406151695,4,Affected-component themes
7. Flexibility and efficiency of use,113.50641582731885,7,1.717926219528403e-21,0.13081429544417242,6633,8,ok,10.7123473541384,0,Nielsen themes
"9. Help users recognize, diagnose, and recover from errors",60.95160446635253,7,9.74367426638708e-11,0.09586003263367036,6633,8,ok,6.350067842605156,0,Nielsen themes
1. Visibility of system status,48.24983411773372,7,3.181791944345886e-08,0.08528897864051159,6633,8,ok,2.6526458616010853,1,Nielsen themes
10. Help and documentation,33.8573503333479,7,1.8316204916880822e-05,0.07144494150968396,6633,8,ok,9.4640434192673,0,Nielsen themes
6. Recognition rather than recall,26.239706428077877,7,0.00045632758585985105,0.06289621155541245,6633,8,ok,1.010854816824966,2,Nielsen themes
5. Error prevention,21.551376915520983,7,0.003034292904052972,0.05700100495505207,6633,8,ok,4.85753052917232,1,Nielsen themes
8. Aesthetic and minimalist design,16.89235503020313,7,0.018103640236971315,0.05046497955061253,6633,8,ok,0.7327001356852103,3,Nielsen themes
3. User control and freedom,15.768646699597603,7,0.027316161773639453,0.048757587942479086,6633,8,ok,0.9701492537313433,2,Nielsen themes
2. Match between system and the real world,7.0287207860342535,7,0.4258956030290065,0.03255241001622388,6633,8,ok,2.7476255088195387,1,Nielsen themes
4. Consistency and standards,3.6117216115873743,7,0.8232542967819484,0.023334695352078983,6633,8,ok,5.502035278154681,0,Nielsen themes
Missing feature / enhancement request,273.262150369435,7,3.069984119994341e-55,0.2147742523399146,5924,8,ok,10.75,0,Primary themes (inductively generated)
Notification/Logging Issues,80.87348276548227,7,9.139278039834293e-15,0.1168410760979239,5924,8,ok,3.716407832545577,1,Primary themes (inductively generated)
Configuration friction,74.56444377557914,7,1.757978010681799e-13,0.11219108971004486,5924,8,ok,2.642133693450371,1,Primary themes (inductively generated)
Security concerns,70.60387778356825,7,1.1154089809169574e-12,0.10917086523549875,5924,8,ok,1.800135043889264,1,Primary themes (inductively generated)
User confusion / unclear documentation,66.33691083169538,7,8.096803699016816e-12,0.10582057007307245,5924,8,ok,7.127954085077651,0,Primary themes (inductively generated)
Unexpected behavior,62.47734262218993,7,4.823638875463363e-11,0.10269605237410954,5924,8,ok,5.1463538149898715,0,Primary themes (inductively generated)
Build/CI/installation/distribution release issues,55.20712010105558,7,1.3564559700713612e-09,0.09653616041095621,5924,8,ok,1.9743416610398379,1,Primary themes (inductively generated)
Tedious Workflows,44.3936602352931,7,1.7929427235519651e-07,0.08656711656887274,5924,8,ok,2.910702228224173,1,Primary themes (inductively generated)
Authentication friction,36.48390363785548,7,5.873516887600382e-06,0.07847713236024075,5924,8,ok,1.4444632005401756,1,Primary themes (inductively generated)
Integration failure/issues,22.72938526304859,7,0.00189971583619676,0.06194215634870743,5924,8,ok,4.783423362592843,1,Primary themes (inductively generated)
Performance issue,17.037266912299028,7,0.017157452267670324,0.05362810347972769,5924,8,ok,0.7040850776502363,3,Primary themes (inductively generated)
Functional Gap,185.80325928463853,7,1.157535097738131e-36,0.1890456790309395,5199,8,ok,11.023850740527024,0,Secondary themes (as coded field)
Functional Reliability,75.79686315036201,7,9.879084334954632e-14,0.12074404131967327,5199,8,ok,5.714752837084054,0,Secondary themes (as coded field)
Cognitive Friction,39.362755085998074,7,1.6664343918127757e-06,0.08701273812869488,5199,8,ok,8.41200230813618,0,Secondary themes (as coded field)
Operational Friction,17.727712086030838,7,0.01326081003282831,0.05839375940900764,5199,8,ok,11.84939411425274,0,Secondary themes (as coded field)
Functional Gap,273.262150369435,7,3.069984119994341e-55,0.2147742523399146,5924,8,ok,10.75,0,Secondary themes (inductively generated; mapped)
Cognitive Friction,63.20886959953332,7,3.4415720352975726e-11,0.10329552015154551,5924,8,ok,10.844361917623228,0,Secondary themes (inductively generated; mapped)
Operational Friction,58.556700170731595,7,2.9290401503205903e-10,0.09942160563430215,5924,8,ok,13.7550641458474,0,Secondary themes (inductively generated; mapped)
Functional Reliability,35.23779804663326,7,1.0090238949586812e-05,0.0771252981948621,5924,8,ok,7.650573936529372,0,Secondary themes (inductively generated; mapped)
