L1_Theme,Keyfactor/ejbca-ce,Keyfactor/signserver-ce,hashicorp/vault,notaryproject/notation,openpubkey/openpubkey,sigstore/cosign,sigstore/fulcio,sigstore/rekor,Total
Missing feature / enhancement request,23,5,555,184,73,413,109,119,1481
User confusion / unclear documentation,84,13,482,42,15,260,32,54,982
Unexpected behavior,34,2,443,30,9,139,19,33,709
Integration failure/issues,32,4,311,35,11,195,38,33,659
Notification/Logging /Web UI Issues,26,3,327,60,6,62,12,16,512
Tedious Workflows,4,1,231,48,4,92,8,13,401
Configuration friction,45,5,212,20,2,62,11,7,364
Build/CI/installation/distribution release issues,38,5,105,24,8,66,12,14,272
Security concerns,6,0,89,17,16,68,31,21,248
Authentication friction,12,4,130,7,5,36,5,0,199
Performance issue,2,1,56,8,1,14,3,12,97
