tool,theme_col,theme,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Keyfactor/ejbca-ce,L1_Theme Secondary,Cognitive Friction,0.00028089976356936397,0.0074953458245097864,0.9701050309082513,1.0002809392196024,0.9856933487734211,1.015084416072332,0.02809392196023719,-1.4306651226578926,1.5084416072332019,49,89,49,47.0,42.61320511994942,49.81830761440654,0.9066639387223281,1.0599639917958839,False,False,0.14285714285714285,0.16262627531058582,0.45363632158908307,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Functional Gap,0.0039730967546809225,0.012138275406926038,0.7434260883181378,1.0039809999668678,0.9803771611473185,1.028153131509972,0.39809999668678486,-1.9622838852681457,2.8153131509971896,49,34,49,47.0,57.58494481963576,61.154578390930915,1.2252115919071438,1.3011612423602323,False,False,0.5510204081632653,0.5000141941050076,0.626472015560357,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Operational Friction,0.004233804304960995,0.0074204633829443945,0.5682993359358224,1.0042427795163666,0.989742665059496,1.0189553262818414,0.4242779516366646,-1.025733494050396,1.8955326281841378,49,91,49,47.0,47.1342966883276,56.329537161073254,1.0028573763473958,1.1985007906611331,False,False,0.16326530612244897,0.15708174849994838,0.7386619448297568,False,False
Keyfactor/ejbca-ce,L1_Theme Secondary,Functional Reliability,0.006678561675110473,0.01056915201253383,0.5274575086397375,1.0067009129986604,0.9860610827284654,1.027772767816872,0.670091299866038,-1.3938917271534623,2.777276781687199,49,45,49,47.0,43.29938871943388,51.99216592987157,0.9212635897751889,1.1062162963802462,False,False,0.3877551020408163,0.40066594079644413,0.48567154284734004,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Cognitive Friction,-0.001153907657251456,0.019613110848251673,0.9530847376998044,0.9988467578381912,0.9611780562467253,1.0379917010795423,-0.11532421618087874,-3.8821943753274746,3.7991701079542306,49,13,49,47.0,73.7215051953554,46.63203400264992,1.568542663730966,0.992170936226594,True,False,0.8163265306122449,0.7669783145096065,0.8486665577699517,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Functional Reliability,0.014111225114404144,0.03200051378576625,0.6592356533939685,1.0142112584285568,0.9525527605081839,1.079860895237413,1.421125842855675,-4.744723949181607,7.986089523741291,49,5,49,47.0,43.65090658838441,22.627048508069645,0.928742693369881,0.4814265640014818,False,False,0.8979591836734694,0.9031781517202894,0.39867536966131645,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Operational Friction,0.01952228581399929,0.020059506072962464,0.33044463382691647,1.0197140917660175,0.9804002757269233,1.0606043824041316,1.971409176601746,-1.9599724273076657,6.060438240413157,49,13,49,47.0,58.34000340708418,40.12154922246355,1.2412766682358336,0.8536499834566713,False,False,0.7755102040816326,0.7689833581899109,0.5481926855157322,False,False
Keyfactor/signserver-ce,L1_Theme Secondary,Functional Gap,0.032081998265574146,0.030641904378712257,0.29510071638611923,1.0326021734210002,0.972411573790976,1.0965184673778596,3.2602173421000247,-2.758842620902402,9.651846737785963,49,6,49,47.0,52.460080905763206,26.809864472628288,1.1161719341651746,0.5704226483537933,False,False,0.8979591836734694,0.8860511043426811,0.059873264042913855,False,False
hashicorp/vault,L1_Theme Secondary,Cognitive Friction,-0.03199307569341227,0.0031427909117506207,2.439884511952619e-24,0.9685132883389223,0.96256570917237,0.9744976168905868,-3.148671166107775,-3.7434290827629946,-2.550238310941322,49,570,49,47.0,70.60848101185142,74.40039482811683,1.5023081066351367,1.5829871240024858,True,False,0.0,0.0009203753377485668,0.7399028868638935,False,True
hashicorp/vault,L1_Theme Secondary,Functional Gap,-0.024371220986526863,0.0029968915392522156,4.2168506576543993e-16,0.9759233592738141,0.9702076789378749,0.9816727117836723,-2.407664072618587,-2.979232106212515,-1.8327288216327675,49,597,49,47.0,77.6274890184504,82.66368928467334,1.6516487025202213,1.7588018996739008,True,False,0.02040816326530612,0.00020799917027017892,0.10748408230574065,False,True
