category,chi2,dof,p_value,cramers_v,n_assignments,n_tools_with_data,test_status,min_expected,cells_expected_lt5,theme_family
Signing workflow,573.5644490358744,7,1.1971702952537511e-119,0.2923680104039802,6710,8,ok,2.7295081967213113,1,Affected-component themes
Verification workflow,561.9112991247273,7,3.858315916194932e-117,0.2893827387166907,6710,8,ok,2.615499254843517,1,Affected-component themes
CLI tooling,422.20304799509074,7,4.116938689977111e-87,0.2508415190104641,6710,8,ok,7.444113263785395,0,Affected-component themes
Web Client,410.2473355446035,7,1.5124660015684963e-84,0.24726441784360229,6710,8,ok,2.49478390461997,1,Affected-component themes
API,320.66096974218624,7,2.3286347726209123e-65,0.21860585555012638,6710,8,ok,4.3859910581222055,1,Affected-component themes
Key Management Core / Secrets Backend,294.40085591453385,7,9.489667531838066e-60,0.20946346046251604,6710,8,ok,3.7757078986587183,1,Affected-component themes
Core,290.0519020689117,7,8.045756894048388e-59,0.20791058423896064,6710,8,ok,7.786140089418778,0,Affected-component themes
Authentication/Authorization tools,191.9643837658729,7,5.763739554493637e-38,0.16914106836699008,6710,8,ok,3.319672131147541,1,Affected-component themes
Policy/configuration,114.95702305161754,7,8.581309769467377e-22,0.13089000800470624,6710,8,ok,5.680327868852459,0,Affected-component themes
Build/CI/Installation,100.46796651605389,7,8.635539358912758e-19,0.1223636846203478,6710,8,ok,2.2801788375558867,1,Affected-component themes
Notification/Logging,43.77116473511963,7,2.3665466840045633e-07,0.08076678421822764,6710,8,ok,1.7034277198211625,1,Affected-component themes
Release pipeline,3.4652130440672755,7,0.8388962290336005,0.022724990491890727,6710,8,ok,0.7846497764530551,2,Affected-component themes
