phase,metric,n,agreement_pct,error_rate_pct,cohen_kappa,gwet_ac1,variant
Phase 1,Associated Component (full),100,0.0,100.0,,,master_new
Phase 1,Associated Component (partial overlap),100,2.0,98.0,,,master_new
Phase 1,codes_primary (semantic agreement),100,90.0,10.0,,,master_new
Phase 2,Usability_Non-Usability Type,99,73.74,26.26,0.3545636910732194,0.5781019504999181,master_new
Phase 3,Associated Component Theme (full),17,29.41,70.59,0.3068559347629114,0.7268670038678965,master_new
Phase 3,Associated Component Theme (partial overlap),17,58.82,41.18,0.3068559347629114,0.7268670038678965,master_new
Phase 3,L1_Theme (full),17,0.0,100.0,0.0505041648399812,0.8744947599910758,master_new
Phase 3,L1_Theme (partial overlap),17,11.76,88.24,0.0505041648399812,0.8744947599910758,master_new
Phase 3,L1_Theme Secondary (full),17,11.76,88.24,0.0180505415162458,0.4620962425840475,master_new
Phase 3,L1_Theme Secondary (partial overlap),17,23.53,76.47,0.0180505415162458,0.4620962425840475,master_new
Phase 3,Nielsen_theme (full),17,0.0,100.0,0.2085427135678391,0.7921397379912666,master_new
Phase 3,Nielsen_theme (partial overlap),17,41.18,58.82,0.2085427135678391,0.7921397379912666,master_new
Phase 1,Associated Component (full),100,0.0,100.0,,,master_old
Phase 1,Associated Component (partial overlap),100,2.0,98.0,,,master_old
Phase 1,codes_primary (semantic agreement),100,90.0,10.0,,,master_old
Phase 2,Usability_Non-Usability Type,99,73.74,26.26,0.3545636910732194,0.5781019504999181,master_old
Phase 3,Associated Component Theme (full),17,29.41,70.59,0.3068559347629114,0.7268670038678965,master_old
Phase 3,Associated Component Theme (partial overlap),17,58.82,41.18,0.3068559347629114,0.7268670038678965,master_old
Phase 3,L1_Theme (full),17,0.0,100.0,0.0505041648399812,0.8744947599910758,master_old
Phase 3,L1_Theme (partial overlap),17,11.76,88.24,0.0505041648399812,0.8744947599910758,master_old
Phase 3,L1_Theme Secondary (full),17,11.76,88.24,0.0180505415162458,0.4620962425840475,master_old
Phase 3,L1_Theme Secondary (partial overlap),17,23.53,76.47,0.0180505415162458,0.4620962425840475,master_old
Phase 3,Nielsen_theme (full),17,0.0,100.0,0.2085427135678391,0.7921397379912666,master_old
Phase 3,Nielsen_theme (partial overlap),17,41.18,58.82,0.2085427135678391,0.7921397379912666,master_old
