sample_id,phase12_subset,repo,issue_number,human_associated_component,llm_associated_component,human_associated_component_semantic,llm_associated_component_semantic,full_agree,partial_agree,code_primary_semantic_agree
2,first_100,Keyfactor/ejbca-ce,55,ejbca- user notification,"Keyfactor EJBCA (Certificate Authority) - Email/User Notification System, Keyfactor EJBCA (Certificate Authority) - Core","key_management_or_ca, notification_logging","authentication_authorization, key_management_or_ca, notification_logging",0,1,yes
3,first_100,Keyfactor/ejbca-ce,218,ejbca,Keyfactor EJBCA (Certificate Authority) core,key_management_or_ca,"authentication_authorization, key_management_or_ca",0,1,yes
4,first_100,Keyfactor/ejbca-ce,261,ejbca-REST API,"Keyfactor EJBCA (Certificate Authority) - REST API, Keyfactor EJBCA (Certificate Authority) - Web Client",api,"api, authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
5,first_100,Keyfactor/ejbca-ce,473,ejbca-web client,Keyfactor EJBCA (Certificate Authority) - Web Client,"cli, web_client","authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
6,first_100,Keyfactor/ejbca-ce,520,ejbca-REST API,Keyfactor EJBCA (Certificate Authority) - REST API,api,"api, authentication_authorization, key_management_or_ca",0,1,yes
7,first_100,Keyfactor/ejbca-ce,568,ejbca,Keyfactor EJBCA (Certificate Authority) core,key_management_or_ca,"authentication_authorization, key_management_or_ca",0,1,yes
8,first_100,Keyfactor/ejbca-ce,577,ejbca-key generation,"Keyfactor EJBCA (Certificate Authority) core, Keyfactor EJBCA (Certificate Authority) API",key_management_or_ca,"api, authentication_authorization, key_management_or_ca",0,1,yes
9,first_100,Keyfactor/ejbca-ce,824,ejbca,Keyfactor EJBCA (Certificate Authority) - Release/Tagging/Distribution,key_management_or_ca,"authentication_authorization, key_management_or_ca, release_pipeline",0,1,yes
10,first_100,Keyfactor/signserver-ce,5,Signserver CLI,"Keyfactor SignServer core, CLI tooling",cli,"cli, core",0,1,yes
11,first_100,hashicorp/vault,13243,Hashcorp vault,Hashicorp Vault - Transit secrets engine,hashcorp,key_management_or_ca,0,0,yes
12,first_100,hashicorp/vault,13246,Hashcorp vault,"Hashicorp Vault core, CLI tooling",hashcorp,"cli, core",0,0,yes
13,first_100,hashicorp/vault,13304,Hashcorp vault-Error alert/ logging,Hashicorp Vault core,notification_logging,core,0,0,yes
14,first_100,hashicorp/vault,13305,Hash corp vault - azure storage container integration,hashicorp vault core,hash corp azure storage container integration,core,0,0,yes
15,first_100,hashicorp/vault,13319,hash corp Vault- Policy engine,"Hashicorp Vault core, Authentication/Authorization (ACL policies)",policy_configuration,"authentication_authorization, build_ci, core, key_management_or_ca",0,0,yes
16,first_100,hashicorp/vault,13346,Hash corp Vault,hashicorp vault core,hash corp,core,0,0,yes
17,first_100,hashicorp/vault,13358,Vault- OIDC Authentication,Vault CLI,"authentication_authorization, key_management_or_ca",cli,0,0,yes
18,first_100,hashicorp/vault,13364,Hash corp Vault - API,"Hashicorp Vault - Key Management Core (secret engine), Hashicorp Vault - API",api,"api, key_management_or_ca",0,1,yes
19,first_100,hashicorp/vault,13388,Hash corp vault- Postgresql secret engine integration,Hashicorp Vault - Key Management Core (secret engine),key_management_or_ca,key_management_or_ca,1,1,yes
20,first_100,hashicorp/vault,14225,"Hash corp Vault - Service mgt , Kubernetes cluster integration","Hashicorp Vault core, Hashicorp Vault - Kubernetes service registration","hash corp service mgt, kubernetes cluster integration","core, kubernetes service registration",0,0,yes
21,first_100,hashicorp/vault,14275,hash corp vault,"Hashicorp Vault - Authentication (userpass, token lookup), CLI/HTTP API",hash corp,"api, authentication_authorization, cli, key_management_or_ca",0,0,yes
22,first_100,hashicorp/vault,14394,Hash corp Vault,Hashicorp Vault - CLI,hash corp,cli,0,0,yes
23,first_100,hashicorp/vault,15196,Vault- Web interface/client,"Hashicorp Vault - Web Client, Hashicorp Vault - Authentication/Authorization","cli, web_client","authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
24,first_100,hashicorp/vault,15210,Vault,HashiCorp Vault core,core,core,1,1,yes
25,first_100,hashicorp/vault,15252,Hash corp vault- CLI error notification,Vault CLI,"cli, key_management_or_ca, notification_logging",cli,0,1,no
26,first_100,hashicorp/vault,15641,hash corp vault - Release/package,Hashicorp Vault - Installation/Distribution (APT repository),release_pipeline,"build_ci, release_pipeline",0,1,yes
27,first_100,hashicorp/vault,16151,Hash corp vault,Hashicorp Vault core,hash corp,core,0,0,yes
28,first_100,hashicorp/vault,16158,Hash corp vault,"Hashicorp Vault core, CLI tooling",hash corp,"cli, core",0,0,yes
29,first_100,hashicorp/vault,16282,hash corp vault- auth,"hashicorp vault core, Go API client",authentication_authorization,"api, cli, core",0,0,yes
30,first_100,hashicorp/vault,16367,Hash corp vault- transit secret engine,"Hashicorp Vault - Transit secrets engine, Hashicorp Vault - API, Hashicorp Vault - Web Client",key_management_or_ca,"api, cli, key_management_or_ca, web_client",0,1,yes
31,first_100,hashicorp/vault,16424,hash corp vault,Hashicorp Vault core,hash corp,core,0,0,yes
32,first_100,hashicorp/vault,16529,hash corp vault-pki/transit engine,Hashicorp Vault - Key Management Core (secret engine),hash corp pki transit engine,key_management_or_ca,0,0,no
33,first_100,hashicorp/vault,16750,"hash corp vault- authentication/Mfa, API","Hashicorp Vault core, CLI tooling, API","api, authentication_authorization, key_management_or_ca","api, cli, core",0,1,yes
34,first_100,hashicorp/vault,16820,hash corp vault- notification,HashiCorp Vault core,"key_management_or_ca, notification_logging",core,0,0,yes
35,first_100,hashicorp/vault,17130,Hash corp vault - oidc integration/authentication,"Hashicorp Vault - Authentication/Authorization (OIDC), Hashicorp Vault - CLI","authentication_authorization, key_management_or_ca","authentication_authorization, cli, key_management_or_ca",0,1,yes
36,first_100,hashicorp/vault,17246,Hash corp vault - API,"Hashicorp Vault core, Authentication/Authorization",api,"authentication_authorization, core, key_management_or_ca",0,0,yes
37,first_100,hashicorp/vault,17325,Hash corp vault - Web client/ui,Hashicorp Vault - Web Client,"cli, web_client","cli, web_client",1,1,yes
38,first_100,hashicorp/vault,17475,"Hash corp vault - Web client/ui, authentication/oidc","Vault Web UI, Authentication/Authorization","authentication_authorization, cli, key_management_or_ca, web_client","authentication_authorization, cli, key_management_or_ca, web_client",1,1,yes
39,first_100,hashicorp/vault,17737,Hash corp vault,"Hashicorp Vault core, API",hash corp,"api, core",0,0,yes
40,first_100,hashicorp/vault,18151,Hash corp vault - Policy,Hashicorp Vault - CLI,policy_configuration,cli,0,0,no
41,first_100,hashicorp/vault,18237,Hash corp vault,Hashicorp Vault - RabbitMQ secrets engine,hash corp,key_management_or_ca,0,0,yes
42,first_100,hashicorp/vault,18248,Hash corp vault,Hashicorp Vault core,hash corp,core,0,0,yes
43,first_100,hashicorp/vault,18251,Hash corp vault,"Hashicorp Vault core, Storage backend (Consul), Transit secrets engine, CLI tooling",hash corp,"cli, core, key_management_or_ca, storage backend consul",0,0,yes
44,first_100,hashicorp/vault,18433,hash corp vault,Vault Agent template rendering,hash corp,agent template rendering,0,0,yes
45,first_100,hashicorp/vault,18491,hash corp vault - Web client/UI,"Hashicorp Vault - Web Client, Hashicorp Vault - Kubernetes/Helm deployment","cli, web_client","cli, kubernetes helm deployment, web_client",0,1,yes
46,first_100,hashicorp/vault,18573,Hash Vault-API,"hashicorp_vault core, API",api,"api, core",0,1,yes
47,first_100,hashicorp/vault,19155,Vault-Plugins,Hashicorp Vault core,plugins,core,0,0,no
48,first_100,hashicorp/vault,19209,hash Vault - Authentication,"Hashicorp Vault - Key Management Core (secret engine), Hashicorp Vault - Authentication/Authorization","authentication_authorization, key_management_or_ca","authentication_authorization, key_management_or_ca",1,1,yes
49,first_100,hashicorp/vault,19490,Vault- Authentication,"Vault CLI, Vault core","authentication_authorization, key_management_or_ca","cli, core",0,0,yes
50,first_100,hashicorp/vault,19568,"Hash Vault - Web Client/UI, CLI",Hashicorp Vault - Web Client,"cli, web_client","cli, web_client",1,1,yes
51,first_100,hashicorp/vault,19697,Hash Vault,Vault core,hash,core,0,0,no
52,first_100,hashicorp/vault,20272,hash Vault-CLI,"Hashicorp Vault - CLI tooling, Hashicorp Vault - Authentication/Authorization tools",cli,"authentication_authorization, cli, key_management_or_ca",0,1,yes
53,first_100,hashicorp/vault,20589,hash vault,Hashicorp Vault core,hash,core,0,0,yes
54,first_100,hashicorp/vault,21521,hash vault,"Hashicorp Vault core, Storage backend",hash,"core, storage backend",0,0,yes
55,first_100,hashicorp/vault,21976,"Hash vault - CLI, plugin",Vault CLI,"cli, plugin",cli,0,1,yes
56,first_100,hashicorp/vault,22045,Hash Vault - Community,hashicorp_vault core,hash community,core,0,0,yes
57,first_100,hashicorp/vault,22214,Hash Vault- Web Client/UI,"Hashicorp Vault - Web Client, Hashicorp Vault - Key Management Core (secret engine)","cli, web_client","cli, key_management_or_ca, web_client",0,1,yes
58,first_100,hashicorp/vault,22461,"Hash Vault- Authentication, community","hashicorp vault core, Authentication/Authorization (AWS IAM auth method)","authentication_authorization, community, key_management_or_ca","authentication_authorization, core, key_management_or_ca",0,1,yes
59,first_100,hashicorp/vault,22578,Hash vault,"Hashicorp Vault core, Hashicorp Vault - Seal (gcpckms), Hashicorp Vault - Helm chart",hash,"core, helm chart, key_management_or_ca",0,0,yes
60,first_100,hashicorp/vault,22602,hash corp vault- secret engine,Hashicorp Vault - AWS secrets engine,key_management_or_ca,key_management_or_ca,1,1,yes
61,first_100,hashicorp/vault,23793,hash vault - authentication,"Hashicorp Vault core, Authentication/Authorization","authentication_authorization, key_management_or_ca","authentication_authorization, core, key_management_or_ca",0,1,no
62,first_100,hashicorp/vault,23800,Hash Vault-Web client/UI,"Hashicorp Vault - Web Client, Hashicorp Vault - Authentication/Authorization (Kubernetes auth), Hashicorp Vault - Namespaces","cli, web_client","authentication_authorization, cli, key_management_or_ca, namespaces, web_client",0,1,yes
