sample_id,repo,issue_number,code_primary_semantic_agree,judge_raw_json
2,Keyfactor/ejbca-ce,55,yes,"{""code_primary_semantic_agree"": true}"
3,Keyfactor/ejbca-ce,218,yes,"{""code_primary_semantic_agree"": true}"
4,Keyfactor/ejbca-ce,261,yes,"{""code_primary_semantic_agree"": true}"
5,Keyfactor/ejbca-ce,473,yes,"{""code_primary_semantic_agree"": true}"
6,Keyfactor/ejbca-ce,520,yes,"{""code_primary_semantic_agree"": true}"
7,Keyfactor/ejbca-ce,568,yes,"{""code_primary_semantic_agree"": true}"
8,Keyfactor/ejbca-ce,577,yes,"{""code_primary_semantic_agree"": true}"
9,Keyfactor/ejbca-ce,824,yes,"{""code_primary_semantic_agree"": true}"
10,Keyfactor/signserver-ce,5,yes,"{""code_primary_semantic_agree"": true}"
11,hashicorp/vault,13243,yes,"{""code_primary_semantic_agree"": true}"
12,hashicorp/vault,13246,yes,"{""code_primary_semantic_agree"": true}"
13,hashicorp/vault,13304,yes,"{""code_primary_semantic_agree"": true}"
14,hashicorp/vault,13305,yes,"{""code_primary_semantic_agree"": true}"
15,hashicorp/vault,13319,yes,"{""code_primary_semantic_agree"": true}"
16,hashicorp/vault,13346,yes,"{""code_primary_semantic_agree"": true}"
17,hashicorp/vault,13358,yes,"{""code_primary_semantic_agree"": true}"
18,hashicorp/vault,13364,yes,"{""code_primary_semantic_agree"": true}"
19,hashicorp/vault,13388,yes,"{""code_primary_semantic_agree"": true}"
20,hashicorp/vault,14225,yes,"{""code_primary_semantic_agree"": true}"
21,hashicorp/vault,14275,yes,"{""code_primary_semantic_agree"": true}"
22,hashicorp/vault,14394,yes,"{""code_primary_semantic_agree"": true}"
23,hashicorp/vault,15196,yes,"{""code_primary_semantic_agree"": true}"
24,hashicorp/vault,15210,yes,"{""code_primary_semantic_agree"": true}"
25,hashicorp/vault,15252,no,"{""code_primary_semantic_agree"": false}"
26,hashicorp/vault,15641,yes,"{""code_primary_semantic_agree"": true}"
27,hashicorp/vault,16151,yes,"{""code_primary_semantic_agree"": true}"
28,hashicorp/vault,16158,yes,"{""code_primary_semantic_agree"": true}"
29,hashicorp/vault,16282,yes,"{""code_primary_semantic_agree"": true}"
30,hashicorp/vault,16367,yes,"{""code_primary_semantic_agree"": true}"
31,hashicorp/vault,16424,yes,"{""code_primary_semantic_agree"": true}"
32,hashicorp/vault,16529,no,"{""code_primary_semantic_agree"": false}"
33,hashicorp/vault,16750,yes,"{""code_primary_semantic_agree"": true}"
34,hashicorp/vault,16820,yes,"{""code_primary_semantic_agree"": true}"
35,hashicorp/vault,17130,yes,"{""code_primary_semantic_agree"": true}"
36,hashicorp/vault,17246,yes,"{""code_primary_semantic_agree"": true}"
37,hashicorp/vault,17325,yes,"{""code_primary_semantic_agree"": true}"
38,hashicorp/vault,17475,yes,"{""code_primary_semantic_agree"": true}"
39,hashicorp/vault,17737,yes,"{""code_primary_semantic_agree"": true}"
40,hashicorp/vault,18151,no,"{""code_primary_semantic_agree"": false}"
41,hashicorp/vault,18237,yes,"{""code_primary_semantic_agree"": true}"
42,hashicorp/vault,18248,yes,"{""code_primary_semantic_agree"": true}"
43,hashicorp/vault,18251,yes,"{""code_primary_semantic_agree"": true}"
44,hashicorp/vault,18433,yes,"{""code_primary_semantic_agree"": true}"
45,hashicorp/vault,18491,yes,"{""code_primary_semantic_agree"": true}"
46,hashicorp/vault,18573,yes,"{""code_primary_semantic_agree"": true}"
47,hashicorp/vault,19155,no,"{""code_primary_semantic_agree"": false}"
