sample_id,phase12_subset,repo,issue_number,human_associated_component,llm_associated_component,human_associated_component_semantic,llm_associated_component_semantic,full_agree,partial_agree,code_primary_semantic_agree
2,first_100,Keyfactor/ejbca-ce,55,ejbca- user notification,"Keyfactor EJBCA (Certificate Authority) - Email/User Notification System, Policy/configuration","key_management_or_ca, notification_logging","authentication_authorization, key_management_or_ca, notification_logging, policy_configuration",0,1,yes
3,first_100,Keyfactor/ejbca-ce,218,ejbca,Keyfactor EJBCA (Certificate Authority) core,key_management_or_ca,"authentication_authorization, key_management_or_ca",0,1,yes
4,first_100,Keyfactor/ejbca-ce,261,ejbca-REST API,"Keyfactor EJBCA (Certificate Authority) - REST End Entity Management V2 API, Web Client",api,"api, authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
5,first_100,Keyfactor/ejbca-ce,473,ejbca-web client,Keyfactor EJBCA (Certificate Authority) - Web Client,"cli, web_client","authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
6,first_100,Keyfactor/ejbca-ce,520,ejbca-REST API,Keyfactor EJBCA (Certificate Authority) - REST API,api,"api, authentication_authorization, key_management_or_ca",0,1,yes
7,first_100,Keyfactor/ejbca-ce,568,ejbca,Keyfactor EJBCA (Certificate Authority) core,key_management_or_ca,"authentication_authorization, key_management_or_ca",0,1,yes
8,first_100,Keyfactor/ejbca-ce,577,ejbca-key generation,"Keyfactor EJBCA (Certificate Authority) - Key Management Core / Secrets Backend, API",key_management_or_ca,"api, authentication_authorization, key_management_or_ca",0,1,yes
9,first_100,Keyfactor/ejbca-ce,824,ejbca,"Keyfactor EJBCA (Certificate Authority) - Release pipeline, installation/distribution",key_management_or_ca,"authentication_authorization, build_ci, key_management_or_ca, release_pipeline",0,1,yes
10,first_100,Keyfactor/signserver-ce,5,Signserver CLI,"Keyfactor SignServer - CLI tooling, Policy/configuration",cli,"cli, policy_configuration",0,1,yes
11,first_100,hashicorp/vault,13243,Hashcorp vault,HashiCorp Vault - Key Management Core / Secrets Backend (transit engine),hashcorp,key_management_or_ca,0,0,yes
12,first_100,hashicorp/vault,13246,Hashcorp vault,"HashiCorp Vault core, CLI tooling, Policy/configuration",hashcorp,"cli, core, policy_configuration",0,0,yes
13,first_100,hashicorp/vault,13304,Hashcorp vault-Error alert/ logging,"HashiCorp Vault core - HA leader election, Notification/Logging",notification_logging,"core ha leader election, key_management_or_ca, notification_logging",0,1,yes
14,first_100,hashicorp/vault,13305,Hash corp vault - azure storage container integration,"HashiCorp Vault - Policy/configuration, Key Management Core / Secrets Backend",hash corp azure storage container integration,"key_management_or_ca, policy_configuration",0,0,no
15,first_100,hashicorp/vault,13319,hash corp Vault- Policy engine,HashiCorp Vault - Policy/ACL path pattern matching,policy_configuration,policy_configuration,1,1,yes
16,first_100,hashicorp/vault,13346,Hash corp Vault,HashiCorp Vault core,hash corp,core,0,0,yes
17,first_100,hashicorp/vault,13358,Vault- OIDC Authentication,"HashiCorp Vault - CLI tooling, Authentication/Authorization tools","authentication_authorization, key_management_or_ca","authentication_authorization, cli, key_management_or_ca",0,1,yes
18,first_100,hashicorp/vault,13364,Hash corp Vault - API,HashiCorp Vault - API,api,api,1,1,yes
19,first_100,hashicorp/vault,13388,Hash corp vault- Postgresql secret engine integration,HashiCorp Vault - Key Management Core / Secrets Backend (PostgreSQL database secrets engine),key_management_or_ca,key_management_or_ca,1,1,yes
20,first_100,hashicorp/vault,14225,"Hash corp Vault - Service mgt , Kubernetes cluster integration",HashiCorp Vault core,"hash corp service mgt, kubernetes cluster integration",core,0,0,yes
21,first_100,hashicorp/vault,14275,hash corp vault,"HashiCorp Vault - API, Authentication/Authorization tools",hash corp,"api, authentication_authorization, key_management_or_ca",0,0,yes
22,first_100,hashicorp/vault,14394,Hash corp Vault,"HashiCorp Vault - CLI, Core",hash corp,"cli, core",0,0,yes
23,first_100,hashicorp/vault,15196,Vault- Web interface/client,"HashiCorp Vault - Web Client, Policy/configuration, API","cli, web_client","api, cli, policy_configuration, web_client",0,1,yes
24,first_100,hashicorp/vault,15210,Vault,HashiCorp Vault core,core,core,1,1,no
25,first_100,hashicorp/vault,15252,Hash corp vault- CLI error notification,HashiCorp Vault - CLI,"cli, key_management_or_ca, notification_logging",cli,0,1,no
26,first_100,hashicorp/vault,15641,hash corp vault - Release/package,HashiCorp Vault - Core,release_pipeline,core,0,0,yes
27,first_100,hashicorp/vault,16151,Hash corp vault,HashiCorp Vault core,hash corp,core,0,0,yes
28,first_100,hashicorp/vault,16158,Hash corp vault,"HashiCorp Vault core, CLI",hash corp,"cli, core",0,0,yes
29,first_100,hashicorp/vault,16282,hash corp vault- auth,HashiCorp Vault - API,authentication_authorization,api,0,0,yes
30,first_100,hashicorp/vault,16367,Hash corp vault- transit secret engine,HashiCorp Vault - Transit secrets engine,key_management_or_ca,key_management_or_ca,1,1,yes
31,first_100,hashicorp/vault,16424,hash corp vault,HashiCorp Vault core,hash corp,core,0,0,yes
32,first_100,hashicorp/vault,16529,hash corp vault-pki/transit engine,"HashiCorp Vault - Key Management Core / Secrets Backend, API",hash corp pki transit engine,"api, key_management_or_ca",0,0,no
33,first_100,hashicorp/vault,16750,"hash corp vault- authentication/Mfa, API","HashiCorp Vault - Authentication/Authorization tools, CLI tooling, API","api, authentication_authorization, key_management_or_ca","api, authentication_authorization, cli, key_management_or_ca",0,1,yes
34,first_100,hashicorp/vault,16820,hash corp vault- notification,HashiCorp Vault - Notification/Logging,"key_management_or_ca, notification_logging","key_management_or_ca, notification_logging",1,1,yes
35,first_100,hashicorp/vault,17130,Hash corp vault - oidc integration/authentication,"HashiCorp Vault - Authentication, CLI tooling","authentication_authorization, key_management_or_ca","authentication_authorization, cli, key_management_or_ca",0,1,yes
36,first_100,hashicorp/vault,17246,Hash corp vault - API,"HashiCorp Vault core, API, Authentication/Authorization tools",api,"api, authentication_authorization, core, key_management_or_ca",0,1,yes
37,first_100,hashicorp/vault,17325,Hash corp vault - Web client/ui,HashiCorp Vault - Web Client,"cli, web_client","cli, web_client",1,1,yes
38,first_100,hashicorp/vault,17475,"Hash corp vault - Web client/ui, authentication/oidc","HashiCorp Vault - Web Client, Authentication","authentication_authorization, cli, key_management_or_ca, web_client","authentication_authorization, cli, key_management_or_ca, web_client",1,1,yes
