sample_id,phase12_subset,repo,issue_number,human_phase2_analyst_a,llm_usability_type,human_phase2_analyst_a_bin,llm_phase2_bin,human_phase2_label_source,agree,human_associated_component_theme,llm_associated_component_theme,metric,full_agree,partial_agree,human_l1_theme,llm_l1_theme,human_l1_theme_secondary,llm_l1_theme_secondary,human_nielsen_theme,llm_nielsen_theme
2,first_100,Keyfactor/ejbca-ce,55,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
3,first_100,Keyfactor/ejbca-ce,218,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
4,first_100,Keyfactor/ejbca-ce,261,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
5,first_100,Keyfactor/ejbca-ce,473,Usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
6,first_100,Keyfactor/ejbca-ce,520,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
7,first_100,Keyfactor/ejbca-ce,568,"non-usability (no indication that user followed documentation, or that this is reproducible)",usability,0.0,1.0,sample_analyst_a,0.0,,,,,,,,,,,
8,first_100,Keyfactor/ejbca-ce,577,usability (user although generated new feature they were really asking questions),usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
9,first_100,Keyfactor/ejbca-ce,824,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
10,first_100,Keyfactor/signserver-ce,5,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
11,first_100,hashicorp/vault,13243,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
12,first_100,hashicorp/vault,13246,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
13,first_100,hashicorp/vault,13304,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
14,first_100,hashicorp/vault,13305,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
15,first_100,hashicorp/vault,13319,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
16,first_100,hashicorp/vault,13346,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
17,first_100,hashicorp/vault,13358,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
18,first_100,hashicorp/vault,13364,Usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
19,first_100,hashicorp/vault,13388,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
20,first_100,hashicorp/vault,14225,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
21,first_100,hashicorp/vault,14275,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
22,first_100,hashicorp/vault,14394,non-unsability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
23,first_100,hashicorp/vault,15196,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
24,first_100,hashicorp/vault,15210,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
25,first_100,hashicorp/vault,15252,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
26,first_100,hashicorp/vault,15641,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
27,first_100,hashicorp/vault,16151,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
28,first_100,hashicorp/vault,16158,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
29,first_100,hashicorp/vault,16282,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
30,first_100,hashicorp/vault,16367,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
31,first_100,hashicorp/vault,16424,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
32,first_100,hashicorp/vault,16529,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
33,first_100,hashicorp/vault,16750,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
34,first_100,hashicorp/vault,16820,non-usability,usability,0.0,1.0,sample_analyst_a,0.0,,,,,,,,,,,
35,first_100,hashicorp/vault,17130,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
36,first_100,hashicorp/vault,17246,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
37,first_100,hashicorp/vault,17325,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
38,first_100,hashicorp/vault,17475,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
39,first_100,hashicorp/vault,17737,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
40,first_100,hashicorp/vault,18151,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
