repo,issue_number,issue_author,issue_text_words,issue_text_chars,comment_count,unique_commenters,comment_text_words,comment_text_chars,comment_authors_joined,unique_thread_participants,total_text_words,total_text_chars
Keyfactor/ejbca-ce,973,alejandroalffer,146,941,2,2,68,472,alejandroalffer|primetomas,2,214,1413
Keyfactor/ejbca-ce,965,sam-sre,721,5771,0,0,0,0,,1,721,5771
Keyfactor/ejbca-ce,958,Archer3457,840,7508,0,0,0,0,,1,840,7508
Keyfactor/ejbca-ce,956,AdityaKoranga,402,3201,1,1,16,110,primetomas,2,418,3311
Keyfactor/ejbca-ce,955,FaziXX,814,5988,4,2,495,2978,FaziXX|primetomas,2,1309,8966
Keyfactor/ejbca-ce,952,benoiton,174,1019,2,1,96,490,primetomas,2,270,1509
Keyfactor/ejbca-ce,946,AdityaKoranga,106,667,6,2,426,2463,AdityaKoranga|primetomas,2,532,3130
Keyfactor/ejbca-ce,944,grzleadams,58,317,5,3,336,2202,AdityaKoranga|grzleadams|primetomas,3,394,2519
Keyfactor/ejbca-ce,943,Juanbanpar,1775,12530,3,2,82,409,hajajmaor|primetomas,3,1857,12939
Keyfactor/ejbca-ce,941,rso61,93,539,6,2,440,2610,primetomas|rso61,2,533,3149
Keyfactor/ejbca-ce,932,trentsteenholdt-synergyau,548,3444,5,2,770,4802,primetomas|trentsteenholdt-synergyau,2,1318,8246
Keyfactor/ejbca-ce,931,trentsteenholdt-synergyau,609,3880,16,2,2409,17013,primetomas|trentsteenholdt-synergyau,2,3018,20893
Keyfactor/ejbca-ce,930,ecolleu-pro,248,1526,2,1,81,465,primetomas,2,329,1991
Keyfactor/ejbca-ce,924,bkstein,686,7478,19,2,1120,6393,bkstein|primetomas,2,1806,13871
Keyfactor/ejbca-ce,922,DDvO,231,1483,26,2,1915,11560,DDvO|primetomas,2,2146,13043
Keyfactor/ejbca-ce,915,trentsteenholdt-synergyau,382,2753,6,2,587,3267,primetomas|trentsteenholdt-synergyau,2,969,6020
Keyfactor/ejbca-ce,910,BlackAnt1968601851,183,1092,5,2,1852,13585,BlackAnt1968601851|primetomas,2,2035,14677
Keyfactor/ejbca-ce,908,grzleadams,183,1110,5,2,436,2881,grzleadams|primetomas,2,619,3991
Keyfactor/ejbca-ce,904,ayalci,3504,26537,4,2,211,1151,ayalci|primetomas,2,3715,27688
