repo,issue_number,issue_url,created_at,comments_count,unique_participants,labels,label_primary,time_tercile,thread_bucket,rationale,title,Associated Components,Codes Primary,Agreement_ Associated component (ANAlysts A nad B),Agreement code Primary (Analysts A & B),Unnamed: 16,ACC Associated Components,ACC Codes Primary,Usability_Non-Usability Type- Analyst B (1- usability; 0-non-usability),Usability_Non-Usability Type- Analyst A,Agreement,Usability_agreed,Usability Theme,sample_id,Usability_Non-Usability Type- Analyst A source,Validation usability label,Validation usability label source
Keyfactor/ejbca-ce,33,https://github.com/Keyfactor/ejbca-ce/issues/33,2022-04-17 22:27:53+00:00,1,1,,,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads),Integration EJBCA in docker container with SMTP server.,ejbca-ce certificate authority - SMPT server,Some components (SMPT_destination/PORT) are not available with SMPT server in older version,1.0,0.0,,0.9,0.88,1,Usability,1.0,Usability,"Usability Issue Theme: Any issue where the software is technically functional (it didn't crash due to a bug), but the user failed to achieve their goal efficiently, effectively, or satisfactorily due to the design, interface, feedback, or documentation. (1)
Non-Usability Theme: Pure functional bugs (e.g., null pointer exceptions, incorrect cryptographic calculations), feature requests that are entirely new capabilities outside current scope, or infrastructure tasks. (0)
",1,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,55,https://github.com/Keyfactor/ejbca-ce/issues/55,2022-06-29 16:12:31+00:00,6,2,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Notification Events,ejbca-certifucate authority - notification events,Status code for notification events were not correctly reported in certain format ( STATUSINITIALIZED and STATUSINPROCESS).,1.0,0.0,,,,1,Usability,1.0,Usability,0.7,2,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,218,https://github.com/Keyfactor/ejbca-ce/issues/218,2023-01-17 03:06:17+00:00,3,2,,,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads),SM3WithSM2 and SM3 support,ejbca-ce certificate authority,Some signature algorithms (SM2withSM3 and SM3) are not compatible with the system,1.0,1.0,,,,1,Usability,1.0,Usability,,3,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,261,https://github.com/Keyfactor/ejbca-ce/issues/261,2023-03-16 13:16:08+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),EJBCA-CE: REST End Entity Management V2 broken,EBJCA-CE Certificate Authority - Endpoints,Endpoints are unaccessible,1.0,0.0,,,,1,Usability,1.0,Usability,,4,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,473,https://github.com/Keyfactor/ejbca-ce/issues/473,2024-01-16 12:17:55+00:00,8,4,bug,bug,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,[BUG] the admin web page for CMP aliases misses the 'Add' button,ejbca-ce certificate authority - web page,"A feature (""Add"") was missing after the update",1.0,1.0,,,,0 (1),Usability,0.0,Non-usability,,5,original_sample_sheet,Non-usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,520,https://github.com/Keyfactor/ejbca-ce/issues/520,2024-02-27 16:26:21+00:00,3,2,bug,bug,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'bug' present,[BUG] CA rest api not available,ejbca-ce certificate authority - rest api,Rest API is not available since the users use the older version. ,1.0,1.0,,,,1,Usability,1.0,Usability,,6,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,568,https://github.com/Keyfactor/ejbca-ce/issues/568,2024-04-09 09:55:37+00:00,0,0,,,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads),EJBCA 8 is not running on wildfly 31 version,ejbca-ce certificate authority,ejbca 8 is not compatible with current Wildfly version ,1.0,1.0,,,,1,"non-usability (no indication that user followed documentation, or that this is reproducible)",0.0,Non-usability,,7,original_sample_sheet,Non-usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,577,https://github.com/Keyfactor/ejbca-ce/issues/577,2024-04-26 16:34:34+00:00,3,2,,,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads),HSM generated keys for EJBCAs generated PKCS#12 objects,ejbca-ce certificate authority - HSM generated key,New feature (HSM keys) is requested ,1.0,1.0,,,,0(1),non-usability(usability (user although generated new feature they were really asking questions)),1.0,Non-usability,,8,original_sample_sheet,Non-usability,consensus_Usability_agreed
Keyfactor/ejbca-ce,824,https://github.com/Keyfactor/ejbca-ce/issues/824,2025-03-03 10:09:33+00:00,6,3,bug,bug,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Release 8.3.2 not available for download,ejbca-certificate authority,Particular release version is not available.,1.0,1.0,,,,1,usability,1.0,Usability,,9,original_sample_sheet,Usability,consensus_Usability_agreed
Keyfactor/signserver-ce,5,https://github.com/Keyfactor/signserver-ce/issues/5,2022-06-22 16:12:19+00:00,3,2,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Exception: java.lang.NoClassDefFoundError: com/sun/jna/Pointer,signserver-ce,Environment does not work with worker.,1.0,0.0,,,,1,usability,1.0,Usability,,10,original_sample_sheet,Usability,consensus_Usability_agreed
