repo,month,month_start,usability_issue_count
Keyfactor/ejbca-ce,2021-11,2021-11-01,0
Keyfactor/signserver-ce,2021-11,2021-11-01,0
hashicorp/vault,2021-11,2021-11-01,39
notaryproject/notation,2021-11,2021-11-01,3
openpubkey/openpubkey,2021-11,2021-11-01,0
sigstore/cosign,2021-11,2021-11-01,23
sigstore/fulcio,2021-11,2021-11-01,7
sigstore/rekor,2021-11,2021-11-01,10
Keyfactor/ejbca-ce,2021-12,2021-12-01,5
Keyfactor/signserver-ce,2021-12,2021-12-01,0
hashicorp/vault,2021-12,2021-12-01,53
notaryproject/notation,2021-12,2021-12-01,2
openpubkey/openpubkey,2021-12,2021-12-01,0
sigstore/cosign,2021-12,2021-12-01,35
sigstore/fulcio,2021-12,2021-12-01,15
sigstore/rekor,2021-12,2021-12-01,8
Keyfactor/ejbca-ce,2022-01,2022-01-01,5
Keyfactor/signserver-ce,2022-01,2022-01-01,0
hashicorp/vault,2022-01,2022-01-01,38
notaryproject/notation,2022-01,2022-01-01,1
openpubkey/openpubkey,2022-01,2022-01-01,0
sigstore/cosign,2022-01,2022-01-01,27
sigstore/fulcio,2022-01,2022-01-01,9
sigstore/rekor,2022-01,2022-01-01,14
Keyfactor/ejbca-ce,2022-02,2022-02-01,2
Keyfactor/signserver-ce,2022-02,2022-02-01,0
hashicorp/vault,2022-02,2022-02-01,64
notaryproject/notation,2022-02,2022-02-01,0
openpubkey/openpubkey,2022-02,2022-02-01,0
sigstore/cosign,2022-02,2022-02-01,30
sigstore/fulcio,2022-02,2022-02-01,20
sigstore/rekor,2022-02,2022-02-01,12
Keyfactor/ejbca-ce,2022-03,2022-03-01,2
Keyfactor/signserver-ce,2022-03,2022-03-01,0
hashicorp/vault,2022-03,2022-03-01,54
notaryproject/notation,2022-03,2022-03-01,1
openpubkey/openpubkey,2022-03,2022-03-01,0
sigstore/cosign,2022-03,2022-03-01,38
sigstore/fulcio,2022-03,2022-03-01,6
sigstore/rekor,2022-03,2022-03-01,5
Keyfactor/ejbca-ce,2022-04,2022-04-01,2
Keyfactor/signserver-ce,2022-04,2022-04-01,0
hashicorp/vault,2022-04,2022-04-01,51
notaryproject/notation,2022-04,2022-04-01,3
openpubkey/openpubkey,2022-04,2022-04-01,0
sigstore/cosign,2022-04,2022-04-01,16
sigstore/fulcio,2022-04,2022-04-01,11
sigstore/rekor,2022-04,2022-04-01,9
Keyfactor/ejbca-ce,2022-05,2022-05-01,2
Keyfactor/signserver-ce,2022-05,2022-05-01,0
hashicorp/vault,2022-05,2022-05-01,54
notaryproject/notation,2022-05,2022-05-01,1
openpubkey/openpubkey,2022-05,2022-05-01,0
sigstore/cosign,2022-05,2022-05-01,23
sigstore/fulcio,2022-05,2022-05-01,6
sigstore/rekor,2022-05,2022-05-01,13
Keyfactor/ejbca-ce,2022-06,2022-06-01,4
Keyfactor/signserver-ce,2022-06,2022-06-01,1
hashicorp/vault,2022-06,2022-06-01,40
notaryproject/notation,2022-06,2022-06-01,10
openpubkey/openpubkey,2022-06,2022-06-01,0
sigstore/cosign,2022-06,2022-06-01,19
sigstore/fulcio,2022-06,2022-06-01,5
sigstore/rekor,2022-06,2022-06-01,10
Keyfactor/ejbca-ce,2022-07,2022-07-01,1
Keyfactor/signserver-ce,2022-07,2022-07-01,0
hashicorp/vault,2022-07,2022-07-01,56
notaryproject/notation,2022-07,2022-07-01,24
openpubkey/openpubkey,2022-07,2022-07-01,0
sigstore/cosign,2022-07,2022-07-01,16
sigstore/fulcio,2022-07,2022-07-01,5
sigstore/rekor,2022-07,2022-07-01,6
Keyfactor/ejbca-ce,2022-08,2022-08-01,6
Keyfactor/signserver-ce,2022-08,2022-08-01,0
hashicorp/vault,2022-08,2022-08-01,42
notaryproject/notation,2022-08,2022-08-01,16
openpubkey/openpubkey,2022-08,2022-08-01,0
sigstore/cosign,2022-08,2022-08-01,22
sigstore/fulcio,2022-08,2022-08-01,9
sigstore/rekor,2022-08,2022-08-01,10
Keyfactor/ejbca-ce,2022-09,2022-09-01,7
Keyfactor/signserver-ce,2022-09,2022-09-01,0
hashicorp/vault,2022-09,2022-09-01,55
notaryproject/notation,2022-09,2022-09-01,4
openpubkey/openpubkey,2022-09,2022-09-01,0
sigstore/cosign,2022-09,2022-09-01,14
sigstore/fulcio,2022-09,2022-09-01,2
sigstore/rekor,2022-09,2022-09-01,16
Keyfactor/ejbca-ce,2022-10,2022-10-01,3
Keyfactor/signserver-ce,2022-10,2022-10-01,1
hashicorp/vault,2022-10,2022-10-01,34
notaryproject/notation,2022-10,2022-10-01,7
openpubkey/openpubkey,2022-10,2022-10-01,0
sigstore/cosign,2022-10,2022-10-01,15
sigstore/fulcio,2022-10,2022-10-01,3
sigstore/rekor,2022-10,2022-10-01,9
Keyfactor/ejbca-ce,2022-11,2022-11-01,4
Keyfactor/signserver-ce,2022-11,2022-11-01,0
hashicorp/vault,2022-11,2022-11-01,55
notaryproject/notation,2022-11,2022-11-01,9
openpubkey/openpubkey,2022-11,2022-11-01,0
sigstore/cosign,2022-11,2022-11-01,26
sigstore/fulcio,2022-11,2022-11-01,4
sigstore/rekor,2022-11,2022-11-01,10
