category,chi2,dof,p_value,cramers_v,n_assignments,min_expected,cells_expected_lt5,theme_family
Authentication friction,111.89307598525471,7,3.715967109061054e-21,0.07620101376265538,19270,10.49174883238194,0,Primary themes (inductively generated)
Missing feature / enhancement request,93.14242556483862,7,2.795926784027268e-17,0.06952370600127311,19270,13.624701608718215,0,Primary themes (inductively generated)
Security concerns,87.71969440211419,7,3.6340095989074165e-16,0.06746953199707416,19270,5.28837571354437,0,Primary themes (inductively generated)
Integration failure/issues,72.27599418284916,7,5.117201038546691e-13,0.061242960974788596,19270,10.564608199273483,0,Primary themes (inductively generated)
Build/CI/installation/distribution release issues,66.9374783166385,7,6.129004096257295e-12,0.058937785848805456,19270,15.446185781006747,0,Primary themes (inductively generated)
Unexpected behavior,40.18343229003117,7,1.1610123467592995e-06,0.045664915402355274,19270,8.743124026984951,0,Primary themes (inductively generated)
Notification/Logging Issues,35.2317594972136,7,1.0116665801347641e-05,0.04275887881541449,19270,15.810482615464453,0,Primary themes (inductively generated)
Configuration friction,26.644546842330346,7,0.0003861035792096653,0.037184616933602,19270,14.450441100155683,0,Primary themes (inductively generated)
Performance issue,14.879908075434724,7,0.0375699914906154,0.027788126471177184,19270,6.338764919564089,0,Primary themes (inductively generated)
Tedious Workflows,11.874624458188059,7,0.10475803044746972,0.024823846924650027,19270,1.9854177477944992,1,Primary themes (inductively generated)
User confusion / unclear documentation,9.86899419670385,7,0.19611981347953458,0.022630575040378832,19270,14.256149455111572,0,Primary themes (inductively generated)
