repo,issue_number,time_tercile_sample,thread_bucket_sample,time_tercile_derived,thread_bucket_derived,time_match,thread_match,both_match
Keyfactor/ejbca-ce,33,early,short,early,short,True,True,True
Keyfactor/ejbca-ce,55,early,long,early,long,True,True,True
Keyfactor/ejbca-ce,218,early,medium,early,medium,True,True,True
Keyfactor/ejbca-ce,261,middle,short,mid,short,False,True,False
Keyfactor/ejbca-ce,473,middle,long,mid,long,False,True,False
Keyfactor/ejbca-ce,520,middle,medium,mid,medium,False,True,False
Keyfactor/ejbca-ce,568,late,short,late,short,True,True,True
Keyfactor/ejbca-ce,577,late,medium,late,medium,True,True,True
Keyfactor/ejbca-ce,824,late,long,late,long,True,True,True
Keyfactor/signserver-ce,5,early,long,early,long,True,True,True
hashicorp/vault,13243,early,long,early,long,True,True,True
hashicorp/vault,13246,early,short,early,short,True,True,True
hashicorp/vault,13304,early,medium,early,medium,True,True,True
hashicorp/vault,13305,early,long,early,long,True,True,True
hashicorp/vault,13319,early,short,early,short,True,True,True
hashicorp/vault,13346,early,short,early,short,True,True,True
hashicorp/vault,13358,early,medium,early,medium,True,True,True
hashicorp/vault,13364,early,medium,early,medium,True,True,True
hashicorp/vault,13388,early,long,early,long,True,True,True
hashicorp/vault,14225,early,long,early,long,True,True,True
hashicorp/vault,14275,early,medium,early,medium,True,True,True
hashicorp/vault,14394,early,short,early,short,True,True,True
hashicorp/vault,15196,early,short,early,short,True,True,True
hashicorp/vault,15210,early,medium,early,medium,True,True,True
hashicorp/vault,15252,early,short,early,short,True,True,True
hashicorp/vault,15641,early,medium,early,medium,True,True,True
hashicorp/vault,16151,early,long,early,long,True,True,True
hashicorp/vault,16158,early,medium,early,medium,True,True,True
hashicorp/vault,16282,early,short,early,short,True,True,True
hashicorp/vault,16367,early,medium,early,medium,True,True,True
hashicorp/vault,16424,early,long,early,long,True,True,True
hashicorp/vault,16529,early,short,early,short,True,True,True
hashicorp/vault,16750,early,short,early,short,True,True,True
hashicorp/vault,16820,early,short,early,short,True,True,True
hashicorp/vault,17130,early,long,early,long,True,True,True
hashicorp/vault,17246,early,long,early,long,True,True,True
hashicorp/vault,17325,early,medium,early,medium,True,True,True
hashicorp/vault,17475,early,medium,early,medium,True,True,True
hashicorp/vault,17737,early,long,early,long,True,True,True
hashicorp/vault,18151,middle,long,mid,long,False,True,False
hashicorp/vault,18237,middle,short,mid,short,False,True,False
hashicorp/vault,18248,middle,medium,mid,medium,False,True,False
hashicorp/vault,18251,middle,long,mid,long,False,True,False
hashicorp/vault,18433,middle,medium,mid,medium,False,True,False
hashicorp/vault,18491,middle,long,mid,long,False,True,False
hashicorp/vault,18573,middle,medium,mid,medium,False,True,False
hashicorp/vault,19155,middle,short,mid,short,False,True,False
hashicorp/vault,19209,middle,medium,mid,medium,False,True,False
hashicorp/vault,19490,middle,short,mid,short,False,True,False
hashicorp/vault,19568,middle,long,mid,long,False,True,False
hashicorp/vault,19697,middle,short,mid,short,False,True,False
hashicorp/vault,20272,middle,medium,mid,medium,False,True,False
hashicorp/vault,20589,middle,medium,mid,medium,False,True,False
hashicorp/vault,21521,middle,long,mid,long,False,True,False
hashicorp/vault,21976,middle,medium,mid,medium,False,True,False
hashicorp/vault,22045,middle,short,mid,short,False,True,False
hashicorp/vault,22214,middle,long,mid,long,False,True,False
hashicorp/vault,22461,middle,medium,mid,medium,False,True,False
hashicorp/vault,22578,middle,long,mid,long,False,True,False
hashicorp/vault,22602,middle,short,mid,short,False,True,False
hashicorp/vault,23793,middle,medium,mid,medium,False,True,False
hashicorp/vault,23800,middle,long,mid,long,False,True,False
hashicorp/vault,23941,middle,long,mid,long,False,True,False
hashicorp/vault,24039,middle,medium,mid,medium,False,True,False
hashicorp/vault,24255,middle,short,mid,short,False,True,False
hashicorp/vault,24269,middle,long,mid,long,False,True,False
hashicorp/vault,24604,middle,short,mid,short,False,True,False
hashicorp/vault,24617,middle,short,mid,short,False,True,False
hashicorp/vault,24725,late,short,late,short,True,True,True
hashicorp/vault,24853,late,medium,late,medium,True,True,True
hashicorp/vault,24956,late,short,late,short,True,True,True
hashicorp/vault,25506,late,medium,late,medium,True,True,True
hashicorp/vault,26164,late,short,late,short,True,True,True
hashicorp/vault,26180,late,long,late,long,True,True,True
hashicorp/vault,27343,late,long,late,long,True,True,True
hashicorp/vault,27344,late,short,late,short,True,True,True
hashicorp/vault,27805,late,short,late,short,True,True,True
hashicorp/vault,27935,late,long,late,long,True,True,True
hashicorp/vault,28073,late,long,late,long,True,True,True
hashicorp/vault,28457,late,medium,late,medium,True,True,True
hashicorp/vault,28738,late,long,late,long,True,True,True
hashicorp/vault,28792,late,long,late,long,True,True,True
hashicorp/vault,28993,late,long,late,long,True,True,True
hashicorp/vault,29033,late,long,late,long,True,True,True
hashicorp/vault,29099,late,long,late,long,True,True,True
hashicorp/vault,29101,late,long,late,long,True,True,True
hashicorp/vault,29179,late,medium,late,medium,True,True,True
hashicorp/vault,29287,late,medium,late,medium,True,True,True
