stratum,N_h,n_h,ybar_h,W_h
Keyfactor/ejbca-ce||early||long,25.0,1,1.0,0.00641025641025641
Keyfactor/ejbca-ce||early||medium,12.0,1,1.0,0.003076923076923077
Keyfactor/ejbca-ce||early||short,26.0,1,1.0,0.006666666666666667
Keyfactor/ejbca-ce||late||long,25.0,1,1.0,0.00641025641025641
Keyfactor/ejbca-ce||late||medium,20.0,1,1.0,0.005128205128205128
Keyfactor/ejbca-ce||late||short,18.0,1,0.0,0.004615384615384616
Keyfactor/signserver-ce||early||long,2.0,1,1.0,0.0005128205128205128
hashicorp/vault||early||long,232.0,9,0.8888888888888888,0.059487179487179485
hashicorp/vault||early||medium,190.0,10,1.0,0.04871794871794872
hashicorp/vault||early||short,208.0,9,0.7777777777777778,0.05333333333333334
hashicorp/vault||late||long,167.0,10,0.9,0.04282051282051282
hashicorp/vault||late||medium,260.0,9,0.8888888888888888,0.06666666666666667
hashicorp/vault||late||short,203.0,10,0.9,0.05205128205128205
notaryproject/notation||early||long,35.0,2,1.0,0.008974358974358974
notaryproject/notation||early||medium,33.0,2,0.0,0.008461538461538461
notaryproject/notation||early||short,43.0,1,1.0,0.011025641025641025
notaryproject/notation||late||long,37.0,2,0.5,0.009487179487179488
notaryproject/notation||late||medium,41.0,1,1.0,0.010512820512820513
notaryproject/notation||late||short,33.0,2,0.5,0.008461538461538461
openpubkey/openpubkey||early||long,15.0,1,1.0,0.0038461538461538464
openpubkey/openpubkey||early||medium,14.0,1,1.0,0.0035897435897435897
openpubkey/openpubkey||early||short,20.0,1,1.0,0.005128205128205128
openpubkey/openpubkey||late||medium,28.0,1,1.0,0.0071794871794871795
openpubkey/openpubkey||late||short,1.0,1,1.0,0.0002564102564102564
sigstore/cosign||early||long,105.0,5,1.0,0.026923076923076925
sigstore/cosign||early||medium,97.0,5,0.8,0.02487179487179487
sigstore/cosign||early||short,88.0,4,0.75,0.022564102564102566
sigstore/cosign||late||long,68.0,4,1.0,0.017435897435897435
sigstore/cosign||late||medium,113.0,5,1.0,0.028974358974358974
sigstore/cosign||late||short,110.0,4,0.75,0.028205128205128206
sigstore/fulcio||early||long,16.0,1,1.0,0.0041025641025641026
sigstore/fulcio||early||medium,19.0,1,1.0,0.004871794871794872
sigstore/fulcio||early||short,30.0,1,1.0,0.007692307692307693
sigstore/fulcio||late||long,20.0,1,1.0,0.005128205128205128
sigstore/fulcio||late||medium,20.0,1,1.0,0.005128205128205128
sigstore/fulcio||late||short,26.0,1,0.0,0.006666666666666667
Keyfactor/ejbca-ce||middle||long,,1,1.0,
Keyfactor/ejbca-ce||middle||medium,,1,1.0,
Keyfactor/ejbca-ce||middle||short,,1,1.0,
hashicorp/vault||middle||long,,10,1.0,
hashicorp/vault||middle||medium,,10,0.9,
hashicorp/vault||middle||short,,9,0.6666666666666666,
notaryproject/notation||middle||long,,2,0.5,
notaryproject/notation||middle||medium,,1,1.0,
notaryproject/notation||middle||short,,2,1.0,
openpubkey/openpubkey||middle||medium,,1,1.0,
openpubkey/openpubkey||middle||short,,1,0.0,
sigstore/cosign||middle||long,,4,1.0,
sigstore/cosign||middle||medium,,4,0.75,
sigstore/cosign||middle||short,,5,1.0,
sigstore/fulcio||middle||long,,1,0.0,
sigstore/fulcio||middle||medium,,1,0.0,
sigstore/fulcio||middle||short,,1,1.0,
